Vertices,Gen set,Diameter,Average distance,Bisection width,Connections
480,1 26 219,7,5.29645,492,1440
480,2 37 57,7,5.29645,192,1440
480,2 183 203,7,5.29645,776,1440
480,3 103 202,7,5.29645,616,1440
480,3 118 217,7,5.29645,676,1440
480,7 93 182,7,5.29645,564,1440
480,9 11 194,7,5.29645,428,1440
480,9 34 149,7,5.29645,384,1440
480,13 33 142,7,5.29645,376,1440
480,14 19 159,7,5.29645,384,1440
480,14 81 221,7,5.29645,632,1440
480,17 38 117,7,5.29645,344,1440
480,21 26 239,7,5.29645,572,1440
480,21 79 134,7,5.29645,468,1440
480,22 73 147,7,5.29645,484,1440
480,22 93 167,7,5.29645,564,1440
480,23 118 237,7,5.29645,756,1440
480,27 58 127,7,5.29645,424,1440
480,27 193 218,7,5.29645,876,1440
480,29 111 206,7,5.29645,692,1440
480,31 69 154,7,5.29645,508,1440
480,33 173 178,7,5.29645,768,1440
480,34 91 231,7,5.29645,712,1440
480,38 123 223,7,5.29645,768,1440
480,39 59 94,7,5.29645,384,1440
480,39 101 226,7,5.29645,732,1440
480,41 106 141,7,5.29645,576,1440
480,43 158 183,7,5.29645,768,1440
480,46 109 129,7,5.29645,568,1440
480,46 111 131,7,5.29645,576,1440
480,47 213 218,7,5.29645,956,1440
480,49 166 171,7,5.29645,772,1440
480,51 74 169,7,5.29645,588,1440
480,51 86 151,7,5.29645,576,1440
480,53 62 87,7,5.29645,404,1440
480,57 158 197,7,5.29645,824,1440
480,58 113 213,7,5.29645,768,1440
480,61 81 146,7,5.29645,576,1440
480,62 153 187,7,5.29645,804,1440
480,63 77 82,7,5.29645,444,1440
480,63 83 238,7,5.29645,768,1440
480,67 178 207,7,5.29645,904,1440
480,69 166 191,7,5.29645,852,1440
480,71 74 189,7,5.29645,668,1440
480,82 163 177,7,5.29645,844,1440
480,86 89 189,7,5.29645,728,1440
480,87 98 107,7,5.29645,584,1440
480,94 181 201,7,5.29645,952,1440
480,97 122 123,7,5.29645,684,1440
480,98 133 153,7,5.29645,768,1440
480,99 106 199,7,5.29645,808,1440
480,99 121 214,7,5.29645,868,1440
480,117 122 143,7,5.29645,764,1440
480,119 141 214,7,5.29645,948,1440
480,129 206 211,7,5.29645,1092,1440
480,134 161 219,7,5.29645,1028,1440
480,137 202 237,7,5.29645,1152,1440
480,139 201 226,7,5.29645,1132,1440
480,142 207 227,7,5.29645,1152,1440
480,146 159 179,7,5.29645,968,1440
480,147 182 233,7,5.29645,1124,1440
480,154 171 209,7,5.29645,1068,1440
480,157 177 238,7,5.29645,1144,1440
480,194 229 231,7,5.29645,1308,1440
