Vertices,Gen set,Diameter,Average distance,Bisection width,Connections
77,1 7 18,4,2.78947,52,231
77,1 7 33,4,2.78947,82,231
77,1 9 24,4,2.78947,68,231
77,1 10 16,4,2.78947,54,231
77,1 17 23,4,2.78947,82,231
77,1 21 30,4,2.78947,104,231
77,2 11 14,4,2.78947,54,231
77,2 14 36,4,2.78947,104,231
77,2 17 35,4,2.78947,108,231
77,2 18 29,4,2.78947,98,231
77,2 20 32,4,2.78947,108,231
77,2 31 34,4,2.78947,134,231
77,3 5 27,4,2.78947,70,231
77,3 8 26,4,2.78947,74,231
77,3 13 14,4,2.78947,60,231
77,3 21 22,4,2.78947,92,231
77,3 21 23,4,2.78947,94,231
77,3 29 30,4,2.78947,124,231
77,4 5 28,4,2.78947,74,231
77,4 7 34,4,2.78947,90,231
77,4 9 15,4,2.78947,56,231
77,4 13 37,4,2.78947,108,231
77,4 19 36,4,2.78947,118,231
77,4 22 28,4,2.78947,108,231
77,5 8 38,4,2.78947,102,231
77,5 11 35,4,2.78947,102,231
77,5 13 35,4,2.78947,106,231
77,5 32 34,4,2.78947,142,231
77,6 10 23,4,2.78947,78,231
77,6 16 25,4,2.78947,94,231
77,6 17 19,4,2.78947,84,231
77,6 26 28,4,2.78947,120,231
77,6 31 35,4,2.78947,144,231
77,6 33 35,4,2.78947,148,231
77,7 10 22,4,2.78947,78,231
77,7 10 26,4,2.78947,86,231
77,7 11 12,4,2.78947,60,231
77,7 11 23,4,2.78947,82,231
77,7 12 15,4,2.78947,68,231
77,7 22 32,4,2.78947,122,231
77,7 23 29,4,2.78947,118,231
77,7 32 37,4,2.78947,152,231
77,7 33 34,4,2.78947,148,231
77,8 9 14,4,2.78947,62,231
77,8 10 21,4,2.78947,78,231
77,8 18 30,4,2.78947,112,231
77,8 21 33,4,2.78947,124,231
77,9 10 13,4,2.78947,64,231
77,9 11 14,4,2.78947,68,231
77,9 35 38,4,2.78947,164,231
77,11 16 35,4,2.78947,124,231
77,11 19 21,4,2.78947,102,231
77,11 21 30,4,2.78947,124,231
77,11 26 28,4,2.78947,130,231
77,11 28 37,4,2.78947,152,231
77,12 20 31,4,2.78947,126,231
77,12 21 25,4,2.78947,116,231
77,12 27 32,4,2.78947,142,231
77,12 34 38,4,2.78947,168,231
77,13 14 33,4,2.78947,120,231
77,13 23 24,4,2.78947,120,231
77,14 19 31,4,2.78947,128,231
77,14 20 25,4,2.78947,118,231
77,14 20 33,4,2.78947,134,231
77,14 22 24,4,2.78947,120,231
77,14 22 31,4,2.78947,134,231
77,14 24 30,4,2.78947,136,231
77,15 19 25,4,2.78947,118,231
77,15 24 37,4,2.78947,152,231
77,15 28 33,4,2.78947,152,231
77,15 28 38,4,2.78947,162,231
77,16 17 36,4,2.78947,138,231
77,16 18 28,4,2.78947,124,231
77,16 20 35,4,2.78947,142,231
77,17 22 35,4,2.78947,148,231
77,17 28 29,4,2.78947,148,231
77,18 20 26,4,2.78947,128,231
77,18 22 28,4,2.78947,136,231
77,19 21 34,4,2.78947,148,231
77,21 22 25,4,2.78947,136,231
77,21 32 36,4,2.78947,178,231
77,21 33 36,4,2.78947,180,231
77,22 35 38,4,2.78947,190,231
77,24 27 35,4,2.78947,172,231
77,25 36 37,4,2.78947,196,231
77,26 29 31,4,2.78947,172,231
77,27 28 37,4,2.78947,184,231
77,27 30 38,4,2.78947,190,231
77,27 33 35,4,2.78947,190,231
77,28 29 33,4,2.78947,180,231
