Vertices,Gen set,Diameter,Average distance,Bisection width,Connections
392,1 16 117,7,4.91816,268,1176
392,1 33 46,7,4.91816,160,1176
392,1 58 95,7,4.91816,308,1176
392,1 67 104,7,4.91816,344,1176
392,2 17 169,7,4.91816,376,1176
392,2 27 179,7,4.91816,416,1176
392,3 41 48,7,4.91816,184,1176
392,3 80 191,7,4.91816,548,1176
392,3 99 138,7,4.91816,480,1176
392,3 107 174,7,4.91816,568,1176
392,5 57 128,7,4.91816,380,1176
392,5 80 193,7,4.91816,556,1176
392,5 83 102,7,4.91816,380,1176
392,5 162 165,7,4.91816,664,1176
392,6 51 115,7,4.91816,344,1176
392,6 81 145,7,4.91816,464,1176
392,8 15 171,7,4.91816,388,1176
392,8 25 181,7,4.91816,428,1176
392,8 73 83,7,4.91816,328,1176
392,8 113 123,7,4.91816,488,1176
392,9 22 95,7,4.91816,252,1176
392,9 71 130,7,4.91816,420,1176
392,9 123 144,7,4.91816,552,1176
392,9 152 181,7,4.91816,684,1176
392,10 61 85,7,4.91816,312,1176
392,10 111 135,7,4.91816,512,1176
392,11 29 114,7,4.91816,308,1176
392,11 32 47,7,4.91816,180,1176
392,11 111 176,7,4.91816,596,1176
392,11 131 146,7,4.91816,576,1176
392,13 30 59,7,4.91816,204,1176
392,13 37 186,7,4.91816,472,1176
392,13 47 184,7,4.91816,488,1176
392,13 87 176,7,4.91816,552,1176
392,15 86 143,7,4.91816,488,1176
392,15 94 103,7,4.91816,424,1176
392,15 152 187,7,4.91816,708,1176
392,16 19 97,7,4.91816,264,1176
392,16 79 195,7,4.91816,580,1176
392,16 99 177,7,4.91816,584,1176
392,17 29 120,7,4.91816,332,1176
392,17 37 192,7,4.91816,492,1176
392,17 47 190,7,4.91816,508,1176
392,18 43 149,7,4.91816,420,1176
392,18 47 153,7,4.91816,436,1176
392,19 74 155,7,4.91816,496,1176
392,19 88 129,7,4.91816,472,1176
392,19 90 157,7,4.91816,532,1176
392,22 101 187,7,4.91816,620,1176
392,23 24 53,7,4.91816,200,1176
392,23 25 118,7,4.91816,332,1176
392,23 27 40,7,4.91816,180,1176
392,23 158 167,7,4.91816,696,1176
392,24 45 121,7,4.91816,380,1176
392,24 75 151,7,4.91816,500,1176
392,24 143 173,7,4.91816,680,1176
392,25 26 41,7,4.91816,184,1176
392,25 107 144,7,4.91816,552,1176
392,26 155 171,7,4.91816,704,1176
392,27 64 151,7,4.91816,484,1176
392,27 66 107,7,4.91816,400,1176
392,29 72 135,7,4.91816,472,1176
392,29 158 173,7,4.91816,720,1176
392,30 137 183,7,4.91816,700,1176
392,31 88 117,7,4.91816,472,1176
392,31 99 104,7,4.91816,468,1176
392,31 142 153,7,4.91816,652,1176
392,31 162 191,7,4.91816,768,1176
