Vertices,Gen set,Diameter,Average distance,Bisection width,Connections
49,1 6 17,3,2.375,48,147
49,1 7 11,3,2.375,38,147
49,1 7 19,3,2.375,54,147
49,1 8 11,3,2.375,40,147
49,1 9 14,3,2.375,48,147
49,1 9 23,3,2.375,66,147
49,1 18 21,3,2.375,80,147
49,2 3 18,3,2.375,46,147
49,2 7 13,3,2.375,44,147
49,2 11 14,3,2.375,54,147
49,2 12 15,3,2.375,58,147
49,2 14 22,3,2.375,76,147
49,2 16 22,3,2.375,80,147
49,2 18 21,3,2.375,82,147
49,3 5 14,3,2.375,44,147
49,3 7 22,3,2.375,64,147
49,3 8 21,3,2.375,64,147
49,3 16 21,3,2.375,80,147
49,3 16 24,3,2.375,86,147
49,3 20 22,3,2.375,90,147
49,4 5 17,3,2.375,52,147
49,4 5 21,3,2.375,60,147
49,4 6 13,3,2.375,46,147
49,4 7 13,3,2.375,48,147
49,4 14 23,3,2.375,82,147
49,4 19 24,3,2.375,94,147
49,4 21 22,3,2.375,94,147
49,5 6 9,3,2.375,40,147
49,5 6 14,3,2.375,50,147
49,5 7 8,3,2.375,40,147
49,5 13 19,3,2.375,74,147
49,6 7 16,3,2.375,58,147
49,6 7 17,3,2.375,60,147
49,6 10 21,3,2.375,74,147
49,7 8 10,3,2.375,50,147
49,7 9 15,3,2.375,62,147
49,7 12 20,3,2.375,78,147
49,7 15 18,3,2.375,80,147
49,7 20 24,3,2.375,102,147
49,7 22 23,3,2.375,104,147
49,8 10 15,3,2.375,66,147
49,8 12 23,3,2.375,86,147
49,8 14 23,3,2.375,90,147
49,9 11 17,3,2.375,74,147
49,9 14 24,3,2.375,94,147
49,9 17 21,3,2.375,94,147
49,10 11 23,3,2.375,88,147
49,10 12 18,3,2.375,80,147
49,10 12 21,3,2.375,86,147
49,10 14 16,3,2.375,80,147
49,11 13 21,3,2.375,90,147
49,11 21 23,3,2.375,110,147
49,12 14 15,3,2.375,82,147
49,12 14 17,3,2.375,86,147
49,13 14 19,3,2.375,92,147
49,13 20 24,3,2.375,114,147
49,14 16 20,3,2.375,100,147
49,14 18 19,3,2.375,102,147
49,15 18 22,3,2.375,110,147
49,15 21 24,3,2.375,120,147
49,16 19 20,3,2.375,110,147
49,17 20 21,3,2.375,116,147
49,19 21 24,3,2.375,128,147
