Vertices,Gen set,Diameter,Average distance,Bisection width,Connections
373,1 60 147,7,4.83333,416,1119
373,1 129 170,7,4.83333,600,1119
373,1 133 143,7,4.83333,554,1119
373,2 33 115,7,4.83333,300,1119
373,2 79 120,7,4.83333,402,1119
373,2 87 107,7,4.83333,392,1119
373,3 14 137,7,4.83333,308,1119
373,3 26 56,7,4.83333,170,1119
373,3 68 180,7,4.83333,502,1119
373,4 66 143,7,4.83333,426,1119
373,4 133 158,7,4.83333,590,1119
373,4 159 174,7,4.83333,674,1119
373,5 11 73,7,4.83333,178,1119
373,5 31 81,7,4.83333,234,1119
373,5 101 104,7,4.83333,420,1119
373,6 13 136,7,4.83333,310,1119
373,6 28 99,7,4.83333,266,1119
373,6 52 112,7,4.83333,340,1119
373,7 47 90,7,4.83333,288,1119
373,7 71 157,7,4.83333,470,1119
373,7 118 185,7,4.83333,620,1119
373,8 25 55,7,4.83333,176,1119
373,8 57 107,7,4.83333,344,1119
373,8 87 132,7,4.83333,454,1119
373,9 38 42,7,4.83333,178,1119
373,9 78 168,7,4.83333,510,1119
373,9 167 169,7,4.83333,690,1119
373,10 22 146,7,4.83333,356,1119
373,10 62 162,7,4.83333,468,1119
373,10 165 171,7,4.83333,692,1119
373,11 29 81,7,4.83333,242,1119
373,11 86 125,7,4.83333,444,1119
373,12 26 101,7,4.83333,278,1119
373,12 56 175,7,4.83333,486,1119
373,12 104 149,7,4.83333,530,1119
373,13 28 185,7,4.83333,452,1119
373,13 34 46,7,4.83333,186,1119
373,14 59 142,7,4.83333,430,1119
373,14 94 180,7,4.83333,576,1119
373,15 33 154,7,4.83333,404,1119
373,15 61 70,7,4.83333,292,1119
373,15 93 130,7,4.83333,476,1119
373,16 50 110,7,4.83333,352,1119
373,16 109 174,7,4.83333,598,1119
373,16 114 159,7,4.83333,578,1119
373,17 23 180,7,4.83333,440,1119
373,17 45 94,7,4.83333,312,1119
373,17 99 112,7,4.83333,456,1119
373,18 35 39,7,4.83333,184,1119
373,18 37 156,7,4.83333,422,1119
373,18 76 84,7,4.83333,356,1119
373,19 21 182,7,4.83333,444,1119
373,19 84 106,7,4.83333,418,1119
373,19 127 160,7,4.83333,612,1119
373,20 31 43,7,4.83333,188,1119
373,20 44 81,7,4.83333,290,1119
373,20 49 124,7,4.83333,386,1119
373,21 98 160,7,4.83333,558,1119
373,21 103 141,7,4.83333,530,1119
373,22 58 162,7,4.83333,484,1119
373,22 123 172,7,4.83333,634,1119
373,23 24 112,7,4.83333,318,1119
373,23 68 75,7,4.83333,332,1119
373,24 52 171,7,4.83333,494,1119
373,24 75 165,7,4.83333,528,1119
373,25 32 155,7,4.83333,424,1119
373,25 132 147,7,4.83333,608,1119
373,26 68 92,7,4.83333,372,1119
373,27 114 126,7,4.83333,534,1119
373,27 128 134,7,4.83333,578,1119
373,27 131 139,7,4.83333,594,1119
373,28 89 118,7,4.83333,470,1119
373,29 44 127,7,4.83333,400,1119
373,29 125 160,7,4.83333,628,1119
373,30 65 66,7,4.83333,322,1119
373,30 113 186,7,4.83333,658,1119
373,30 122 140,7,4.83333,584,1119
373,31 48 104,7,4.83333,366,1119
373,32 55 145,7,4.83333,464,1119
373,32 100 153,7,4.83333,570,1119
373,33 87 130,7,4.83333,500,1119
373,34 90 185,7,4.83333,618,1119
373,34 149 175,7,4.83333,716,1119
373,35 77 138,7,4.83333,500,1119
373,35 156 179,7,4.83333,740,1119
373,36 61 74,7,4.83333,342,1119
