Vertices,Gen set,Diameter,Average distance,Bisection width,Connections
250,1 9 22 59 93,4,2.8755,368,1250
250,1 9 30 84 118,4,2.8755,484,1250
250,1 9 46 76 118,4,2.8755,500,1250
250,1 16 26 37 82,4,2.8755,324,1250
250,1 22 41 48 58,4,2.8755,340,1250
250,1 27 36 48 68,4,2.8755,360,1250
250,1 27 42 51 89,4,2.8755,420,1250
250,1 37 43 54 113,4,2.8755,496,1250
250,1 38 61 72 92,4,2.8755,528,1250
250,1 49 58 73 111,4,2.8755,584,1250
250,1 64 98 106 111,4,2.8755,760,1250
250,1 74 80 98 111,4,2.8755,728,1250
