Vertices,Gen set,Diameter,Average distance,BW,Connections
450,1 8 74 121,5,3.89532,408,1800
450,1 10 123 171,5,3.89532,610,1800
450,1 11 79 194,5,3.89532,570,1800
450,1 36 43 98,5,3.89532,356,1800
450,1 41 89 146,5,3.89532,554,1800
450,1 44 139 163,5,3.89532,694,1800
450,1 48 65 138,5,3.89532,504,1800
450,1 48 132 205,5,3.89532,772,1800
450,1 52 119 194,5,3.89532,732,1800
450,1 83 146 191,5,3.89532,842,1800
450,1 86 157 198,5,3.89532,884,1800
450,1 91 131 214,5,3.89532,874,1800
450,1 103 127 188,5,3.89532,838,1800
450,1 111 174 191,5,3.89532,954,1800
450,1 114 129 139,5,3.89532,766,1800
