Vertices,Gen set,Diameter,Average distance,Bisection width,Connections
167,1 7 18 63,4,2.93976,178,668
167,1 7 31 78,4,2.93976,234,668
167,1 8 27 68,4,2.93976,208,668
167,1 8 29 62,4,2.93976,200,668
167,1 9 24 69,4,2.93976,206,668
167,1 11 51 70,4,2.93976,266,668
167,1 13 35 54,4,2.93976,206,668
167,1 15 36 62,4,2.93976,228,668
167,1 17 23 77,4,2.93976,236,668
167,1 21 34 59,4,2.93976,230,668
167,1 21 66 75,4,2.93976,326,668
167,1 24 35 76,4,2.93976,272,668
167,1 27 49 61,4,2.93976,276,668
167,1 37 48 53,4,2.93976,278,668
167,1 43 52 68,4,2.93976,328,668
167,1 46 65 80,4,2.93976,384,668
