Vertices,Gen set,Diameter,Average distance,Bisection width,Connections
137,1 4 23 62,4,2.77941,180,548
137,1 4 25 40,4,2.77941,140,548
137,1 5 14 53,4,2.77941,146,548
137,1 6 24 39,4,2.77941,140,548
137,1 6 29 49,4,2.77941,170,548
137,1 7 31 42,4,2.77941,162,548
137,1 10 28 34,4,2.77941,146,548
137,1 11 28 47,4,2.77941,174,548
137,1 11 29 44,4,2.77941,170,548
137,1 13 44 64,4,2.77941,244,548
137,1 15 25 58,4,2.77941,198,548
137,1 18 23 31,4,2.77941,146,548
137,1 21 26 35,4,2.77941,166,548
137,1 24 41 52,4,2.77941,236,548
137,1 34 40 53,4,2.77941,256,548
137,1 38 52 55,4,2.77941,292,548
