Vertices,Gen set,Diameter,Average distance,Bisection width,Connections
227,1 61,11,7.10619,124,454
227,1 67,11,7.10619,136,454
227,2 93,11,7.10619,190,454
227,2 105,11,7.10619,214,454
227,3 26,11,7.10619,58,454
227,3 44,11,7.10619,94,454
227,4 17,11,7.10619,42,454
227,4 41,11,7.10619,90,454
227,5 78,11,7.10619,166,454
227,5 108,11,7.10619,226,454
227,6 52,11,7.10619,116,454
227,6 88,11,7.10619,188,454
227,7 15,11,7.10619,44,454
227,7 27,11,7.10619,68,454
227,8 34,11,7.10619,84,454
227,8 82,11,7.10619,180,454
227,9 78,11,7.10619,174,454
227,9 95,11,7.10619,208,454
227,10 11,11,7.10619,42,454
227,10 71,11,7.10619,162,454
227,11 56,11,7.10619,134,454
227,12 51,11,7.10619,126,454
227,12 104,11,7.10619,232,454
227,13 37,11,7.10619,100,454
227,13 112,11,7.10619,250,454
227,14 30,11,7.10619,88,454
227,14 54,11,7.10619,136,454
227,15 97,11,7.10619,224,454
227,16 63,11,7.10619,158,454
227,16 68,11,7.10619,168,454
227,17 98,11,7.10619,230,454
227,18 37,11,7.10619,110,454
227,18 71,11,7.10619,178,454
227,19 24,11,7.10619,86,454
227,19 89,11,7.10619,216,454
227,20 22,11,7.10619,84,454
227,20 85,11,7.10619,210,454
227,21 45,11,7.10619,132,454
227,21 81,11,7.10619,204,454
227,22 112,11,7.10619,268,454
227,23 41,11,7.10619,128,454
227,23 48,11,7.10619,142,454
227,24 102,11,7.10619,252,454
227,25 64,11,7.10619,178,454
227,25 86,11,7.10619,222,454
227,26 74,11,7.10619,200,454
227,27 58,11,7.10619,170,454
227,28 60,11,7.10619,176,454
227,28 108,11,7.10619,272,454
227,29 47,11,7.10619,152,454
227,29 100,11,7.10619,258,454
227,30 33,11,7.10619,126,454
227,31 34,11,7.10619,130,454
227,31 75,11,7.10619,212,454
227,32 91,11,7.10619,246,454
227,32 101,11,7.10619,266,454
227,33 59,11,7.10619,184,454
227,35 75,11,7.10619,220,454
227,35 92,11,7.10619,254,454
227,36 74,11,7.10619,220,454
227,36 85,11,7.10619,242,454
227,38 48,11,7.10619,172,454
227,38 49,11,7.10619,174,454
227,39 109,11,7.10619,296,454
227,39 111,11,7.10619,300,454
227,40 44,11,7.10619,168,454
227,40 57,11,7.10619,194,454
227,42 65,11,7.10619,214,454
227,42 90,11,7.10619,264,454
227,43 70,11,7.10619,226,454
227,43 101,11,7.10619,288,454
227,45 64,11,7.10619,218,454
227,46 82,11,7.10619,256,454
227,46 96,11,7.10619,284,454
227,47 84,11,7.10619,262,454
227,49 105,11,7.10619,308,454
227,50 55,11,7.10619,210,454
227,50 99,11,7.10619,298,454
227,51 67,11,7.10619,236,454
227,52 79,11,7.10619,262,454
227,53 55,11,7.10619,216,454
227,53 81,11,7.10619,268,454
227,54 111,11,7.10619,330,454
227,56 107,11,7.10619,326,454
227,57 72,11,7.10619,258,454
227,58 94,11,7.10619,304,454
227,59 94,11,7.10619,306,454
227,60 66,11,7.10619,252,454
227,61 89,11,7.10619,300,454
227,62 68,11,7.10619,260,454
227,62 77,11,7.10619,278,454
227,63 92,11,7.10619,310,454
227,65 106,11,7.10619,342,454
227,66 109,11,7.10619,350,454
227,69 83,11,7.10619,304,454
227,69 104,11,7.10619,346,454
227,70 77,11,7.10619,294,454
227,72 79,11,7.10619,302,454
227,73 87,11,7.10619,320,454
227,73 103,11,7.10619,352,454
227,76 96,11,7.10619,344,454
227,76 98,11,7.10619,348,454
227,80 88,11,7.10619,336,454
227,80 113,11,7.10619,386,454
227,83 113,11,7.10619,392,454
227,84 97,11,7.10619,362,454
227,86 87,11,7.10619,346,454
227,90 99,11,7.10619,378,454
227,91 103,11,7.10619,388,454
227,93 102,11,7.10619,390,454
227,95 107,11,7.10619,404,454
227,100 110,11,7.10619,420,454
227,106 110,11,7.10619,432,454
