Vertices,Gen set,Diameter,Average distance,BW,Connections
1096,1 144,23,15.6064,290,2192
1096,3 432,23,15.6064,870,2192
1096,5 376,23,15.6064,762,2192
1096,7 88,23,15.6064,190,2192
1096,8 99,23,15.6064,214,2192
1096,8 175,23,15.6064,366,2192
1096,8 373,23,15.6064,762,2192
1096,8 449,23,15.6064,914,2192
1096,9 200,23,15.6064,418,2192
1096,11 488,23,15.6064,998,2192
1096,13 320,23,15.6064,666,2192
1096,15 32,23,15.6064,94,2192
1096,16 61,23,15.6064,154,2192
1096,16 213,23,15.6064,458,2192
1096,16 335,23,15.6064,702,2192
1096,16 487,23,15.6064,1006,2192
1096,17 256,23,15.6064,546,2192
1096,19 544,23,15.6064,1126,2192
1096,21 264,23,15.6064,570,2192
1096,23 24,23,15.6064,94,2192
1096,24 251,23,15.6064,550,2192
1096,24 297,23,15.6064,642,2192
1096,24 525,23,15.6064,1098,2192
1096,25 312,23,15.6064,674,2192
1096,27 496,23,15.6064,1046,2192
1096,29 208,23,15.6064,474,2192
1096,31 80,23,15.6064,222,2192
1096,32 259,23,15.6064,582,2192
1096,32 289,23,15.6064,642,2192
1096,32 533,23,15.6064,1130,2192
1096,33 368,23,15.6064,802,2192
1096,35 440,23,15.6064,950,2192
1096,37 152,23,15.6064,378,2192
1096,39 136,23,15.6064,350,2192
1096,40 53,23,15.6064,186,2192
1096,40 221,23,15.6064,522,2192
1096,40 327,23,15.6064,734,2192
1096,40 495,23,15.6064,1070,2192
1096,41 424,23,15.6064,930,2192
1096,43 384,23,15.6064,854,2192
1096,45 96,23,15.6064,282,2192
1096,47 192,23,15.6064,478,2192
1096,48 91,23,15.6064,278,2192
1096,48 183,23,15.6064,462,2192
1096,48 365,23,15.6064,826,2192
1096,48 457,23,15.6064,1010,2192
1096,49 480,23,15.6064,1058,2192
1096,51 328,23,15.6064,758,2192
1096,55 248,23,15.6064,606,2192
1096,56 129,23,15.6064,370,2192
1096,56 145,23,15.6064,402,2192
1096,56 403,23,15.6064,918,2192
1096,56 419,23,15.6064,950,2192
1096,57 536,23,15.6064,1186,2192
1096,59 272,23,15.6064,662,2192
1096,63 304,23,15.6064,734,2192
1096,64 107,23,15.6064,342,2192
1096,64 167,23,15.6064,462,2192
1096,64 381,23,15.6064,890,2192
1096,64 441,23,15.6064,1010,2192
1096,65 504,23,15.6064,1138,2192
1096,67 216,23,15.6064,566,2192
1096,69 72,23,15.6064,282,2192
1096,71 360,23,15.6064,862,2192
1096,72 205,23,15.6064,554,2192
1096,72 343,23,15.6064,830,2192
1096,72 479,23,15.6064,1102,2192
1096,73 448,23,15.6064,1042,2192
1096,75 160,23,15.6064,470,2192
1096,77 128,23,15.6064,410,2192
1096,79 416,23,15.6064,990,2192
1096,80 243,23,15.6064,646,2192
1096,80 305,23,15.6064,770,2192
1096,80 517,23,15.6064,1194,2192
1096,81 392,23,15.6064,946,2192
1096,83 104,23,15.6064,374,2192
1096,85 184,23,15.6064,538,2192
1096,87 472,23,15.6064,1118,2192
1096,88 267,23,15.6064,710,2192
1096,88 281,23,15.6064,738,2192
1096,88 541,23,15.6064,1258,2192
1096,89 336,23,15.6064,850,2192
1096,93 240,23,15.6064,666,2192
1096,95 528,23,15.6064,1246,2192
1096,96 229,23,15.6064,650,2192
1096,96 319,23,15.6064,830,2192
1096,96 503,23,15.6064,1198,2192
1096,97 280,23,15.6064,754,2192
1096,101 296,23,15.6064,794,2192
1096,103 512,23,15.6064,1230,2192
1096,104 191,23,15.6064,590,2192
1096,104 357,23,15.6064,922,2192
1096,104 465,23,15.6064,1138,2192
1096,105 224,23,15.6064,658,2192
1096,109 352,23,15.6064,922,2192
1096,111 456,23,15.6064,1134,2192
1096,112 121,23,15.6064,466,2192
1096,112 153,23,15.6064,530,2192
1096,112 395,23,15.6064,1014,2192
1096,112 427,23,15.6064,1078,2192
1096,113 168,23,15.6064,562,2192
1096,115 120,23,15.6064,470,2192
1096,117 408,23,15.6064,1050,2192
1096,119 400,23,15.6064,1038,2192
1096,120 159,23,15.6064,558,2192
1096,120 389,23,15.6064,1018,2192
1096,120 433,23,15.6064,1106,2192
1096,123 176,23,15.6064,598,2192
1096,125 464,23,15.6064,1178,2192
1096,127 344,23,15.6064,942,2192
1096,128 197,23,15.6064,650,2192
1096,128 351,23,15.6064,958,2192
1096,128 471,23,15.6064,1198,2192
1096,131 232,23,15.6064,726,2192
1096,133 520,23,15.6064,1306,2192
1096,135 288,23,15.6064,846,2192
1096,136 235,23,15.6064,742,2192
1096,136 313,23,15.6064,898,2192
1096,136 509,23,15.6064,1290,2192
1096,139 288,23,15.6064,854,2192
1096,141 520,23,15.6064,1322,2192
1096,143 232,23,15.6064,750,2192
1096,144 273,23,15.6064,834,2192
1096,144 275,23,15.6064,838,2192
1096,144 547,23,15.6064,1382,2192
1096,147 344,23,15.6064,982,2192
1096,149 464,23,15.6064,1226,2192
1096,151 176,23,15.6064,654,2192
1096,152 237,23,15.6064,778,2192
1096,152 311,23,15.6064,926,2192
1096,152 511,23,15.6064,1326,2192
1096,155 400,23,15.6064,1110,2192
1096,157 408,23,15.6064,1130,2192
1096,160 199,23,15.6064,718,2192
1096,160 349,23,15.6064,1018,2192
1096,160 473,23,15.6064,1266,2192
1096,161 168,23,15.6064,658,2192
1096,163 456,23,15.6064,1238,2192
1096,165 352,23,15.6064,1034,2192
1096,168 387,23,15.6064,1110,2192
1096,168 435,23,15.6064,1206,2192
1096,169 224,23,15.6064,786,2192
1096,171 512,23,15.6064,1366,2192
1096,173 296,23,15.6064,938,2192
1096,176 397,23,15.6064,1146,2192
1096,176 425,23,15.6064,1202,2192
1096,177 280,23,15.6064,914,2192
1096,179 528,23,15.6064,1414,2192
1096,181 240,23,15.6064,842,2192
1096,184 189,23,15.6064,746,2192
1096,184 359,23,15.6064,1086,2192
1096,184 463,23,15.6064,1294,2192
1096,185 336,23,15.6064,1042,2192
1096,187 472,23,15.6064,1318,2192
1096,192 227,23,15.6064,838,2192
1096,192 321,23,15.6064,1026,2192
1096,192 501,23,15.6064,1386,2192
1096,193 392,23,15.6064,1170,2192
1096,195 416,23,15.6064,1222,2192
1096,200 265,23,15.6064,930,2192
1096,200 283,23,15.6064,966,2192
1096,200 539,23,15.6064,1478,2192
1096,201 448,23,15.6064,1298,2192
1096,203 360,23,15.6064,1126,2192
1096,207 216,23,15.6064,846,2192
1096,208 245,23,15.6064,906,2192
