Vertices,Gen set,Diameter,Average distance,Bisection width,Connections
781,1 40,20,13.1795,82,1562
781,1 371,20,13.1795,744,1562
781,2 39,20,13.1795,82,1562
781,2 80,20,13.1795,164,1562
781,3 120,20,13.1795,246,1562
781,3 332,20,13.1795,670,1562
781,4 78,20,13.1795,164,1562
781,4 160,20,13.1795,328,1562
781,5 200,20,13.1795,410,1562
781,5 293,20,13.1795,596,1562
781,6 117,20,13.1795,246,1562
781,6 240,20,13.1795,492,1562
781,7 254,20,13.1795,522,1562
781,7 280,20,13.1795,574,1562
781,8 156,20,13.1795,328,1562
781,8 320,20,13.1795,656,1562
781,9 215,20,13.1795,448,1562
781,9 360,20,13.1795,738,1562
781,10 195,20,13.1795,410,1562
781,10 381,20,13.1795,782,1562
781,12 234,20,13.1795,492,1562
781,12 301,20,13.1795,626,1562
781,13 137,20,13.1795,300,1562
781,13 261,20,13.1795,548,1562
781,14 221,20,13.1795,470,1562
781,14 273,20,13.1795,574,1562
781,15 98,20,13.1795,226,1562
781,15 181,20,13.1795,392,1562
781,16 141,20,13.1795,314,1562
781,16 312,20,13.1795,656,1562
781,17 59,20,13.1795,152,1562
781,17 101,20,13.1795,236,1562
781,18 61,20,13.1795,158,1562
781,18 351,20,13.1795,738,1562
781,19 20,20,13.1795,78,1562
781,19 21,20,13.1795,80,1562
781,20 390,20,13.1795,820,1562
781,21 59,20,13.1795,160,1562
781,23 58,20,13.1795,162,1562
781,23 139,20,13.1795,324,1562
781,24 179,20,13.1795,406,1562
781,24 313,20,13.1795,674,1562
781,25 97,20,13.1795,244,1562
781,25 219,20,13.1795,488,1562
781,26 259,20,13.1795,570,1562
781,26 274,20,13.1795,600,1562
781,27 136,20,13.1795,326,1562
781,27 299,20,13.1795,652,1562
781,28 235,20,13.1795,526,1562
781,28 339,20,13.1795,734,1562
781,29 175,20,13.1795,408,1562
781,29 379,20,13.1795,816,1562
781,30 196,20,13.1795,452,1562
781,30 362,20,13.1795,784,1562
781,31 214,20,13.1795,490,1562
781,31 322,20,13.1795,706,1562
781,32 157,20,13.1795,378,1562
781,32 282,20,13.1795,628,1562
781,34 118,20,13.1795,304,1562
781,34 202,20,13.1795,472,1562
781,35 162,20,13.1795,394,1562
781,35 292,20,13.1795,654,1562
781,36 79,20,13.1795,230,1562
781,36 122,20,13.1795,316,1562
781,37 82,20,13.1795,238,1562
781,37 331,20,13.1795,736,1562
781,38 40,20,13.1795,156,1562
781,38 42,20,13.1795,160,1562
781,39 370,20,13.1795,818,1562
781,41 78,20,13.1795,238,1562
781,41 372,20,13.1795,826,1562
781,42 118,20,13.1795,320,1562
781,43 158,20,13.1795,402,1562
781,43 333,20,13.1795,752,1562
781,45 238,20,13.1795,566,1562
781,45 294,20,13.1795,678,1562
781,46 116,20,13.1795,324,1562
781,46 278,20,13.1795,648,1562
781,47 255,20,13.1795,604,1562
781,47 318,20,13.1795,730,1562
781,48 155,20,13.1795,406,1562
781,48 358,20,13.1795,812,1562
781,49 216,20,13.1795,530,1562
781,49 383,20,13.1795,864,1562
781,50 194,20,13.1795,488,1562
781,50 343,20,13.1795,786,1562
781,51 177,20,13.1795,456,1562
781,51 303,20,13.1795,708,1562
781,52 233,20,13.1795,570,1562
781,52 263,20,13.1795,630,1562
781,53 138,20,13.1795,382,1562
781,53 223,20,13.1795,552,1562
781,54 183,20,13.1795,474,1562
781,54 272,20,13.1795,652,1562
781,56 103,20,13.1795,318,1562
781,56 311,20,13.1795,734,1562
781,57 60,20,13.1795,234,1562
781,57 63,20,13.1795,240,1562
781,58 350,20,13.1795,816,1562
781,60 389,20,13.1795,898,1562
781,61 97,20,13.1795,316,1562
781,62 137,20,13.1795,398,1562
781,62 353,20,13.1795,830,1562
781,63 177,20,13.1795,480,1562
781,64 217,20,13.1795,562,1562
781,64 314,20,13.1795,756,1562
781,65 96,20,13.1795,322,1562
781,65 257,20,13.1795,644,1562
781,67 135,20,13.1795,404,1562
781,67 337,20,13.1795,808,1562
781,68 236,20,13.1795,608,1562
781,68 377,20,13.1795,890,1562
781,69 174,20,13.1795,486,1562
781,69 364,20,13.1795,866,1562
781,70 197,20,13.1795,534,1562
781,70 324,20,13.1795,788,1562
781,72 158,20,13.1795,460,1562
781,72 244,20,13.1795,632,1562
781,73 204,20,13.1795,554,1562
781,73 252,20,13.1795,650,1562
781,74 119,20,13.1795,386,1562
781,74 164,20,13.1795,476,1562
781,75 124,20,13.1795,398,1562
781,75 291,20,13.1795,732,1562
781,76 80,20,13.1795,312,1562
781,76 84,20,13.1795,320,1562
781,79 369,20,13.1795,896,1562
781,81 116,20,13.1795,394,1562
781,81 373,20,13.1795,908,1562
781,82 156,20,13.1795,476,1562
781,83 196,20,13.1795,558,1562
781,83 334,20,13.1795,834,1562
781,84 236,20,13.1795,640,1562
781,85 276,20,13.1795,722,1562
781,85 295,20,13.1795,760,1562
781,86 115,20,13.1795,402,1562
781,86 316,20,13.1795,804,1562
781,87 256,20,13.1795,686,1562
781,87 356,20,13.1795,886,1562
781,89 217,20,13.1795,612,1562
781,89 345,20,13.1795,868,1562
781,90 193,20,13.1795,566,1562
781,90 305,20,13.1795,790,1562
781,91 178,20,13.1795,538,1562
781,91 265,20,13.1795,712,1562
781,92 225,20,13.1795,634,1562
781,92 232,20,13.1795,648,1562
781,93 139,20,13.1795,464,1562
781,93 185,20,13.1795,556,1562
781,94 145,20,13.1795,478,1562
781,94 271,20,13.1795,730,1562
781,95 100,20,13.1795,390,1562
781,95 105,20,13.1795,400,1562
781,96 310,20,13.1795,812,1562
781,98 349,20,13.1795,894,1562
781,100 388,20,13.1795,976,1562
781,101 135,20,13.1795,472,1562
781,102 175,20,13.1795,554,1562
781,102 354,20,13.1795,912,1562
781,103 215,20,13.1795,636,1562
781,104 255,20,13.1795,718,1562
781,104 315,20,13.1795,838,1562
781,105 295,20,13.1795,800,1562
781,106 276,20,13.1795,764,1562
781,106 335,20,13.1795,882,1562
781,107 134,20,13.1795,482,1562
781,107 375,20,13.1795,964,1562
781,108 237,20,13.1795,690,1562
781,108 366,20,13.1795,948,1562
781,109 173,20,13.1795,564,1562
781,109 326,20,13.1795,870,1562
781,111 212,20,13.1795,646,1562
781,111 246,20,13.1795,714,1562
781,112 159,20,13.1795,542,1562
781,112 206,20,13.1795,636,1562
781,113 166,20,13.1795,558,1562
781,113 251,20,13.1795,728,1562
781,114 120,20,13.1795,468,1562
781,114 126,20,13.1795,480,1562
781,115 290,20,13.1795,810,1562
781,117 329,20,13.1795,892,1562
781,119 368,20,13.1795,974,1562
781,122 194,20,13.1795,632,1562
781,123 234,20,13.1795,714,1562
781,123 335,20,13.1795,916,1562
781,124 274,20,13.1795,796,1562
781,125 296,20,13.1795,842,1562
781,125 314,20,13.1795,878,1562
781,126 354,20,13.1795,960,1562
781,127 257,20,13.1795,768,1562
781,127 387,20,13.1795,1028,1562
781,128 153,20,13.1795,562,1562
781,128 347,20,13.1795,950,1562
781,129 218,20,13.1795,694,1562
781,129 307,20,13.1795,872,1562
781,130 192,20,13.1795,644,1562
781,130 267,20,13.1795,794,1562
781,131 179,20,13.1795,620,1562
781,131 227,20,13.1795,716,1562
781,133 140,20,13.1795,546,1562
781,133 147,20,13.1795,560,1562
781,134 270,20,13.1795,808,1562
781,136 309,20,13.1795,890,1562
781,138 348,20,13.1795,972,1562
781,140 387,20,13.1795,1054,1562
781,141 173,20,13.1795,628,1562
781,144 293,20,13.1795,874,1562
781,144 316,20,13.1795,920,1562
781,145 333,20,13.1795,956,1562
781,146 277,20,13.1795,846,1562
781,146 373,20,13.1795,1038,1562
781,147 368,20,13.1795,1030,1562
781,148 238,20,13.1795,772,1562
781,148 328,20,13.1795,952,1562
781,149 172,20,13.1795,642,1562
781,149 288,20,13.1795,874,1562
781,150 199,20,13.1795,698,1562
781,150 248,20,13.1795,796,1562
781,151 208,20,13.1795,718,1562
781,151 211,20,13.1795,724,1562
781,152 160,20,13.1795,624,1562
781,152 168,20,13.1795,640,1562
781,153 250,20,13.1795,806,1562
781,155 289,20,13.1795,888,1562
781,157 328,20,13.1795,970,1562
781,159 367,20,13.1795,1052,1562
781,161 192,20,13.1795,706,1562
781,161 375,20,13.1795,1072,1562
781,162 232,20,13.1795,788,1562
781,163 272,20,13.1795,870,1562
781,163 336,20,13.1795,998,1562
781,164 312,20,13.1795,952,1562
781,166 389,20,13.1795,1110,1562
781,167 258,20,13.1795,850,1562
781,167 349,20,13.1795,1032,1562
781,168 309,20,13.1795,954,1562
781,169 219,20,13.1795,776,1562
781,169 269,20,13.1795,876,1562
781,170 191,20,13.1795,722,1562
781,170 229,20,13.1795,798,1562
781,171 180,20,13.1795,702,1562
781,171 189,20,13.1795,720,1562
781,172 230,20,13.1795,804,1562
781,174 269,20,13.1795,886,1562
781,178 347,20,13.1795,1050,1562
781,180 386,20,13.1795,1132,1562
781,181 211,20,13.1795,784,1562
781,182 251,20,13.1795,866,1562
781,182 356,20,13.1795,1076,1562
781,183 291,20,13.1795,948,1562
781,184 317,20,13.1795,1002,1562
781,184 331,20,13.1795,1030,1562
781,185 371,20,13.1795,1112,1562
781,186 278,20,13.1795,928,1562
781,186 370,20,13.1795,1112,1562
781,188 239,20,13.1795,854,1562
781,188 290,20,13.1795,956,1562
781,189 250,20,13.1795,878,1562
781,190 200,20,13.1795,780,1562
781,190 210,20,13.1795,800,1562
781,191 210,20,13.1795,802,1562
781,193 249,20,13.1795,884,1562
781,195 288,20,13.1795,966,1562
781,197 327,20,13.1795,1048,1562
781,199 366,20,13.1795,1130,1562
781,201 230,20,13.1795,862,1562
781,201 376,20,13.1795,1154,1562
781,202 270,20,13.1795,944,1562
781,203 310,20,13.1795,1026,1562
781,203 337,20,13.1795,1080,1562
781,204 350,20,13.1795,1108,1562
781,205 298,20,13.1795,1006,1562
781,205 390,20,13.1795,1190,1562
781,206 351,20,13.1795,1114,1562
781,207 259,20,13.1795,932,1562
781,207 311,20,13.1795,1036,1562
781,208 271,20,13.1795,958,1562
781,212 229,20,13.1795,882,1562
781,214 268,20,13.1795,964,1562
781,216 307,20,13.1795,1046,1562
781,218 346,20,13.1795,1128,1562
781,221 249,20,13.1795,940,1562
781,222 289,20,13.1795,1022,1562
781,222 357,20,13.1795,1158,1562
781,223 329,20,13.1795,1104,1562
781,224 318,20,13.1795,1084,1562
781,224 369,20,13.1795,1186,1562
781,225 372,20,13.1795,1194,1562
781,226 279,20,13.1795,1010,1562
781,226 332,20,13.1795,1116,1562
781,227 292,20,13.1795,1038,1562
781,228 240,20,13.1795,936,1562
781,228 252,20,13.1795,960,1562
781,233 248,20,13.1795,962,1562
781,235 287,20,13.1795,1044,1562
781,237 326,20,13.1795,1126,1562
781,239 365,20,13.1795,1208,1562
781,241 268,20,13.1795,1018,1562
781,241 377,20,13.1795,1236,1562
781,243 338,20,13.1795,1162,1562
781,243 348,20,13.1795,1182,1562
781,244 388,20,13.1795,1264,1562
781,245 299,20,13.1795,1088,1562
781,245 353,20,13.1795,1196,1562
781,246 313,20,13.1795,1118,1562
781,247 260,20,13.1795,1014,1562
781,247 273,20,13.1795,1040,1562
781,254 267,20,13.1795,1042,1562
781,256 306,20,13.1795,1124,1562
781,258 345,20,13.1795,1206,1562
781,260 384,20,13.1795,1288,1562
781,261 287,20,13.1795,1096,1562
781,262 327,20,13.1795,1178,1562
781,262 358,20,13.1795,1240,1562
781,263 367,20,13.1795,1260,1562
781,265 334,20,13.1795,1198,1562
781,266 280,20,13.1795,1092,1562
781,266 294,20,13.1795,1120,1562
781,277 325,20,13.1795,1204,1562
781,279 364,20,13.1795,1286,1562
781,281 306,20,13.1795,1174,1562
781,281 378,20,13.1795,1318,1562
781,282 346,20,13.1795,1256,1562
781,283 339,20,13.1795,1244,1562
781,283 386,20,13.1795,1338,1562
781,285 300,20,13.1795,1170,1562
781,285 315,20,13.1795,1200,1562
781,296 305,20,13.1795,1202,1562
781,298 344,20,13.1795,1284,1562
781,300 383,20,13.1795,1366,1562
781,301 325,20,13.1795,1252,1562
781,302 359,20,13.1795,1322,1562
781,302 365,20,13.1795,1334,1562
781,303 376,20,13.1795,1358,1562
781,304 320,20,13.1795,1248,1562
781,304 336,20,13.1795,1280,1562
781,317 324,20,13.1795,1282,1562
781,321 344,20,13.1795,1330,1562
781,321 379,20,13.1795,1400,1562
781,322 384,20,13.1795,1412,1562
781,323 340,20,13.1795,1326,1562
781,323 357,20,13.1795,1360,1562
781,338 343,20,13.1795,1362,1562
781,340 382,20,13.1795,1444,1562
781,342 360,20,13.1795,1404,1562
781,342 378,20,13.1795,1440,1562
781,359 362,20,13.1795,1442,1562
781,361 380,20,13.1795,1482,1562
781,361 382,20,13.1795,1486,1562
781,380 381,20,13.1795,1522,1562
