Vertices,Gen set,Diameter,Average distance,Bisection width,Connections
636,1 186,18,11.8961,374,1272
636,5 294,18,11.8961,598,1272
636,6 41,18,11.8961,94,1272
636,6 65,18,11.8961,142,1272
636,6 253,18,11.8961,518,1272
636,6 277,18,11.8961,566,1272
636,7 30,18,11.8961,74,1272
636,11 138,18,11.8961,298,1272
636,13 126,18,11.8961,278,1272
636,17 18,18,11.8961,70,1272
636,18 89,18,11.8961,214,1272
636,18 229,18,11.8961,494,1272
636,18 301,18,11.8961,638,1272
636,19 282,18,11.8961,602,1272
636,23 174,18,11.8961,394,1272
636,25 198,18,11.8961,446,1272
636,29 306,18,11.8961,670,1272
636,30 113,18,11.8961,286,1272
636,30 205,18,11.8961,470,1272
636,30 311,18,11.8961,682,1272
636,31 42,18,11.8961,146,1272
636,35 150,18,11.8961,370,1272
636,37 114,18,11.8961,302,1272
636,42 137,18,11.8961,358,1272
636,42 181,18,11.8961,446,1272
636,42 287,18,11.8961,658,1272
636,43 270,18,11.8961,626,1272
636,47 162,18,11.8961,418,1272
636,49 210,18,11.8961,518,1272
636,54 55,18,11.8961,218,1272
636,54 157,18,11.8961,422,1272
636,54 161,18,11.8961,430,1272
636,54 263,18,11.8961,634,1272
636,59 162,18,11.8961,442,1272
636,61 102,18,11.8961,326,1272
636,66 79,18,11.8961,290,1272
636,66 133,18,11.8961,398,1272
636,66 185,18,11.8961,502,1272
636,66 239,18,11.8961,610,1272
636,67 258,18,11.8961,650,1272
636,71 150,18,11.8961,442,1272
636,73 222,18,11.8961,590,1272
636,77 306,18,11.8961,766,1272
636,78 103,18,11.8961,362,1272
636,78 109,18,11.8961,374,1272
636,78 209,18,11.8961,574,1272
636,78 215,18,11.8961,586,1272
636,83 174,18,11.8961,514,1272
636,85 90,18,11.8961,350,1272
636,90 127,18,11.8961,434,1272
636,90 191,18,11.8961,562,1272
636,90 233,18,11.8961,646,1272
636,91 246,18,11.8961,674,1272
636,95 138,18,11.8961,466,1272
636,97 234,18,11.8961,662,1272
636,101 294,18,11.8961,790,1272
636,102 151,18,11.8961,506,1272
636,102 167,18,11.8961,538,1272
636,102 257,18,11.8961,718,1272
636,107 186,18,11.8961,586,1272
636,114 143,18,11.8961,514,1272
636,114 175,18,11.8961,578,1272
636,114 281,18,11.8961,790,1272
636,115 234,18,11.8961,698,1272
636,119 126,18,11.8961,490,1272
636,121 246,18,11.8961,734,1272
636,125 282,18,11.8961,814,1272
636,126 199,18,11.8961,650,1272
636,126 305,18,11.8961,862,1272
636,131 198,18,11.8961,658,1272
636,138 223,18,11.8961,722,1272
636,138 307,18,11.8961,890,1272
636,139 222,18,11.8961,722,1272
636,145 258,18,11.8961,806,1272
636,149 270,18,11.8961,838,1272
636,150 247,18,11.8961,794,1272
636,150 283,18,11.8961,866,1272
636,155 210,18,11.8961,730,1272
636,162 259,18,11.8961,842,1272
636,162 271,18,11.8961,866,1272
636,163 210,18,11.8961,746,1272
636,169 270,18,11.8961,878,1272
636,173 258,18,11.8961,862,1272
636,174 235,18,11.8961,818,1272
636,174 295,18,11.8961,938,1272
636,179 222,18,11.8961,802,1272
636,186 211,18,11.8961,794,1272
636,186 317,18,11.8961,1006,1272
636,187 198,18,11.8961,770,1272
636,193 282,18,11.8961,950,1272
636,197 246,18,11.8961,886,1272
636,198 293,18,11.8961,982,1272
636,203 234,18,11.8961,874,1272
636,210 269,18,11.8961,958,1272
636,217 294,18,11.8961,1022,1272
636,221 234,18,11.8961,910,1272
636,222 245,18,11.8961,934,1272
636,227 246,18,11.8961,946,1272
636,241 306,18,11.8961,1094,1272
636,251 258,18,11.8961,1018,1272
636,270 275,18,11.8961,1090,1272
636,282 299,18,11.8961,1162,1272
636,289 306,18,11.8961,1190,1272
636,294 313,18,11.8961,1214,1272
