Vertices,Gen set,Diameter,Average distance,Bisection width,Connections
198,2 81,10,6.64975,166,396
198,4 63,10,6.64975,134,396
198,8 27,10,6.64975,70,396
198,9 10,10,6.64975,38,396
198,9 32,10,6.64975,82,396
198,9 34,10,6.64975,86,396
198,9 56,10,6.64975,130,396
198,9 76,10,6.64975,170,396
198,9 98,10,6.64975,214,396
198,14 27,10,6.64975,82,396
198,16 45,10,6.64975,122,396
198,20 81,10,6.64975,202,396
198,26 63,10,6.64975,178,396
198,27 52,10,6.64975,158,396
198,27 58,10,6.64975,170,396
198,27 74,10,6.64975,202,396
198,27 80,10,6.64975,214,396
198,28 45,10,6.64975,146,396
198,38 45,10,6.64975,166,396
198,40 63,10,6.64975,206,396
198,45 50,10,6.64975,190,396
198,45 82,10,6.64975,254,396
198,45 94,10,6.64975,278,396
198,46 81,10,6.64975,254,396
198,62 63,10,6.64975,250,396
198,63 70,10,6.64975,266,396
198,63 92,10,6.64975,310,396
198,64 81,10,6.64975,290,396
198,68 81,10,6.64975,298,396
198,81 86,10,6.64975,334,396
