Vertices,Gen set,Diameter,Average distance,BW,Connections
1374,2 315,26,17.4785,634,2748
1374,3 410,26,17.4785,826,2748
1374,3 506,26,17.4785,1018,2748
1374,4 57,26,17.4785,122,2748
1374,8 573,26,17.4785,1162,2748
1374,9 314,26,17.4785,646,2748
1374,9 602,26,17.4785,1222,2748
1374,10 201,26,17.4785,422,2748
1374,14 543,26,17.4785,1114,2748
1374,15 218,26,17.4785,466,2748
1374,15 676,26,17.4785,1382,2748
1374,16 459,26,17.4785,950,2748
1374,20 285,26,17.4785,610,2748
1374,21 122,26,17.4785,286,2748
1374,21 580,26,17.4785,1202,2748
1374,22 657,26,17.4785,1358,2748
1374,26 27,26,17.4785,106,2748
1374,27 484,26,17.4785,1022,2748
1374,28 399,26,17.4785,854,2748
1374,32 231,26,17.4785,526,2748
1374,33 70,26,17.4785,206,2748
1374,33 388,26,17.4785,842,2748
1374,34 141,26,17.4785,350,2748
1374,38 489,26,17.4785,1054,2748
1374,39 166,26,17.4785,410,2748
1374,39 292,26,17.4785,662,2748
1374,40 117,26,17.4785,314,2748
1374,44 627,26,17.4785,1342,2748
1374,45 196,26,17.4785,482,2748
1374,45 262,26,17.4785,614,2748
1374,46 375,26,17.4785,842,2748
1374,50 369,26,17.4785,838,2748
1374,51 100,26,17.4785,302,2748
1374,51 358,26,17.4785,818,2748
1374,52 633,26,17.4785,1370,2748
1374,56 111,26,17.4785,334,2748
1374,57 454,26,17.4785,1022,2748
1374,58 483,26,17.4785,1082,2748
1374,62 147,26,17.4785,418,2748
1374,63 92,26,17.4785,310,2748
1374,63 550,26,17.4785,1226,2748
1374,64 225,26,17.4785,578,2748
1374,68 405,26,17.4785,946,2748
1374,69 188,26,17.4785,514,2748
1374,69 646,26,17.4785,1430,2748
1374,74 663,26,17.4785,1474,2748
1374,75 284,26,17.4785,718,2748
1374,75 632,26,17.4785,1414,2748
1374,76 291,26,17.4785,734,2748
1374,80 453,26,17.4785,1066,2748
1374,81 380,26,17.4785,922,2748
1374,81 536,26,17.4785,1234,2748
1374,82 549,26,17.4785,1262,2748
1374,86 195,26,17.4785,562,2748
1374,87 440,26,17.4785,1054,2748
1374,87 476,26,17.4785,1126,2748
1374,88 567,26,17.4785,1310,2748
1374,93 344,26,17.4785,874,2748
1374,93 572,26,17.4785,1330,2748
1374,94 309,26,17.4785,806,2748
1374,98 321,26,17.4785,838,2748
1374,99 248,26,17.4785,694,2748
1374,99 668,26,17.4785,1534,2748
1374,104 579,26,17.4785,1366,2748
1374,105 152,26,17.4785,514,2748
1374,105 610,26,17.4785,1430,2748
1374,106 207,26,17.4785,626,2748
1374,110 537,26,17.4785,1294,2748
1374,111 514,26,17.4785,1250,2748
1374,112 465,26,17.4785,1154,2748
1374,116 279,26,17.4785,790,2748
1374,117 418,26,17.4785,1070,2748
1374,118 651,26,17.4785,1538,2748
1374,123 136,26,17.4785,518,2748
1374,123 322,26,17.4785,890,2748
1374,124 393,26,17.4785,1034,2748
1374,128 237,26,17.4785,730,2748
1374,129 226,26,17.4785,710,2748
1374,129 232,26,17.4785,722,2748
1374,130 135,26,17.4785,530,2748
1374,134 495,26,17.4785,1258,2748
1374,135 328,26,17.4785,926,2748
1374,140 621,26,17.4785,1522,2748
1374,141 424,26,17.4785,1130,2748
1374,142 381,26,17.4785,1046,2748
1374,146 363,26,17.4785,1018,2748
1374,147 520,26,17.4785,1334,2748
1374,148 639,26,17.4785,1574,2748
1374,153 158,26,17.4785,622,2748
1374,153 616,26,17.4785,1538,2748
1374,154 477,26,17.4785,1262,2748
1374,159 254,26,17.4785,826,2748
1374,159 662,26,17.4785,1642,2748
1374,160 219,26,17.4785,758,2748
1374,164 411,26,17.4785,1150,2748
1374,165 350,26,17.4785,1030,2748
1374,165 566,26,17.4785,1462,2748
1374,170 669,26,17.4785,1678,2748
