Vertices,Gen set,Diameter,Average distance,Bisection width,Connections
585,1 171,17,11.411,344,1170
585,2 243,17,11.411,490,1170
585,4 99,17,11.411,206,1170
585,7 27,17,11.411,68,1170
585,8 198,17,11.411,412,1170
585,9 41,17,11.411,100,1170
585,9 89,17,11.411,196,1170
585,9 106,17,11.411,230,1170
585,9 154,17,11.411,326,1170
585,9 236,17,11.411,490,1170
585,9 284,17,11.411,586,1170
585,11 126,17,11.411,274,1170
585,14 54,17,11.411,136,1170
585,16 189,17,11.411,410,1170
585,17 18,17,11.411,70,1170
585,18 82,17,11.411,200,1170
585,18 113,17,11.411,262,1170
585,18 178,17,11.411,392,1170
585,18 212,17,11.411,460,1170
585,18 277,17,11.411,590,1170
585,19 261,17,11.411,560,1170
585,22 252,17,11.411,548,1170
585,23 162,17,11.411,370,1170
585,27 58,17,11.411,170,1170
585,27 137,17,11.411,328,1170
585,27 188,17,11.411,430,1170
585,27 202,17,11.411,458,1170
585,27 253,17,11.411,560,1170
585,28 108,17,11.411,272,1170
585,29 279,17,11.411,616,1170
585,31 36,17,11.411,134,1170
585,32 207,17,11.411,478,1170
585,34 36,17,11.411,140,1170
585,36 161,17,11.411,394,1170
585,36 164,17,11.411,400,1170
585,36 226,17,11.411,524,1170
585,36 229,17,11.411,530,1170
585,37 108,17,11.411,290,1170
585,38 63,17,11.411,202,1170
585,43 252,17,11.411,590,1170
585,44 81,17,11.411,250,1170
585,46 261,17,11.411,614,1170
585,47 153,17,11.411,400,1170
585,49 189,17,11.411,476,1170
585,53 288,17,11.411,682,1170
585,54 79,17,11.411,266,1170
585,54 116,17,11.411,340,1170
585,54 181,17,11.411,470,1170
585,54 209,17,11.411,526,1170
585,54 274,17,11.411,656,1170
585,56 216,17,11.411,544,1170
585,59 144,17,11.411,406,1170
585,61 99,17,11.411,320,1170
585,62 72,17,11.411,268,1170
585,63 92,17,11.411,310,1170
585,63 103,17,11.411,332,1170
585,63 157,17,11.411,440,1170
585,63 233,17,11.411,592,1170
585,63 287,17,11.411,700,1170
585,64 171,17,11.411,470,1170
585,67 243,17,11.411,620,1170
585,68 72,17,11.411,280,1170
585,71 144,17,11.411,430,1170
585,72 127,17,11.411,398,1170
585,72 133,17,11.411,410,1170
585,72 257,17,11.411,658,1170
585,72 263,17,11.411,670,1170
585,73 198,17,11.411,542,1170
585,74 216,17,11.411,580,1170
585,76 126,17,11.411,404,1170
585,77 288,17,11.411,730,1170
585,81 86,17,11.411,334,1170
585,81 109,17,11.411,380,1170
585,81 151,17,11.411,464,1170
585,81 239,17,11.411,640,1170
585,81 281,17,11.411,724,1170
585,83 153,17,11.411,472,1170
585,88 162,17,11.411,500,1170
585,94 279,17,11.411,746,1170
585,97 207,17,11.411,608,1170
585,98 207,17,11.411,610,1170
585,99 134,17,11.411,466,1170
585,99 191,17,11.411,580,1170
585,99 199,17,11.411,596,1170
585,99 256,17,11.411,710,1170
585,101 279,17,11.411,760,1170
585,107 162,17,11.411,538,1170
585,108 158,17,11.411,532,1170
585,108 167,17,11.411,550,1170
585,108 223,17,11.411,662,1170
585,108 232,17,11.411,680,1170
585,112 153,17,11.411,530,1170
585,118 288,17,11.411,812,1170
585,119 126,17,11.411,490,1170
585,121 216,17,11.411,674,1170
585,122 198,17,11.411,640,1170
585,124 144,17,11.411,536,1170
585,126 184,17,11.411,620,1170
585,126 206,17,11.411,664,1170
585,126 271,17,11.411,794,1170
585,128 243,17,11.411,742,1170
585,131 171,17,11.411,604,1170
585,136 144,17,11.411,560,1170
585,139 216,17,11.411,710,1170
585,142 288,17,11.411,860,1170
585,144 254,17,11.411,796,1170
585,144 266,17,11.411,820,1170
585,146 189,17,11.411,670,1170
585,148 153,17,11.411,602,1170
585,149 261,17,11.411,820,1170
585,152 252,17,11.411,808,1170
585,153 242,17,11.411,790,1170
585,153 278,17,11.411,862,1170
585,162 172,17,11.411,668,1170
585,162 218,17,11.411,760,1170
585,162 283,17,11.411,890,1170
585,163 207,17,11.411,740,1170
585,166 279,17,11.411,890,1170
585,171 194,17,11.411,730,1170
585,171 196,17,11.411,734,1170
585,171 259,17,11.411,860,1170
585,173 252,17,11.411,850,1170
585,176 261,17,11.411,874,1170
585,179 189,17,11.411,736,1170
585,187 198,17,11.411,770,1170
585,189 211,17,11.411,800,1170
585,189 244,17,11.411,866,1170
585,193 243,17,11.411,872,1170
585,197 243,17,11.411,880,1170
585,198 203,17,11.411,802,1170
585,198 268,17,11.411,932,1170
585,207 227,17,11.411,868,1170
585,207 292,17,11.411,998,1170
585,214 261,17,11.411,950,1170
585,216 251,17,11.411,934,1170
585,216 269,17,11.411,970,1170
585,217 252,17,11.411,938,1170
585,224 279,17,11.411,1006,1170
585,238 252,17,11.411,980,1170
585,241 261,17,11.411,1004,1170
585,243 262,17,11.411,1010,1170
585,248 288,17,11.411,1072,1170
585,272 288,17,11.411,1120,1170
585,279 289,17,11.411,1136,1170
