Vertices,Gen set,Diameter,Average distance,Bisection width,Connections
530,1 188,16,10.8582,378,1060
530,2 31,16,10.8582,66,1060
530,3 34,16,10.8582,74,1060
530,4 203,16,10.8582,414,1060
530,6 93,16,10.8582,198,1060
530,7 256,16,10.8582,526,1060
530,8 141,16,10.8582,298,1060
530,9 102,16,10.8582,222,1060
530,11 52,16,10.8582,126,1060
530,12 79,16,10.8582,182,1060
530,13 206,16,10.8582,438,1060
530,14 217,16,10.8582,462,1060
530,16 17,16,10.8582,66,1060
530,18 251,16,10.8582,538,1060
530,19 138,16,10.8582,314,1060
530,21 238,16,10.8582,518,1060
530,22 189,16,10.8582,422,1060
530,23 84,16,10.8582,214,1060
530,24 107,16,10.8582,262,1060
530,26 127,16,10.8582,306,1060
530,27 224,16,10.8582,502,1060
530,28 169,16,10.8582,394,1060
530,29 152,16,10.8582,362,1060
530,32 231,16,10.8582,526,1060
530,33 156,16,10.8582,378,1060
530,36 237,16,10.8582,546,1060
530,37 66,16,10.8582,206,1060
530,38 59,16,10.8582,194,1060
530,39 88,16,10.8582,254,1060
530,41 242,16,10.8582,566,1060
530,42 121,16,10.8582,326,1060
530,43 134,16,10.8582,354,1060
530,44 113,16,10.8582,314,1060
530,46 183,16,10.8582,458,1060
530,47 174,16,10.8582,442,1060
530,48 51,16,10.8582,198,1060
530,49 202,16,10.8582,502,1060
530,54 223,16,10.8582,554,1060
530,56 73,16,10.8582,258,1060
530,57 116,16,10.8582,346,1060
530,58 161,16,10.8582,438,1060
530,61 192,16,10.8582,506,1060
530,62 99,16,10.8582,322,1060
530,63 184,16,10.8582,494,1060
530,64 197,16,10.8582,522,1060
530,67 124,16,10.8582,382,1060
530,68 259,16,10.8582,654,1060
530,69 252,16,10.8582,642,1060
530,71 98,16,10.8582,338,1060
530,72 209,16,10.8582,562,1060
530,74 87,16,10.8582,322,1060
530,76 147,16,10.8582,446,1060
530,77 166,16,10.8582,486,1060
530,78 149,16,10.8582,454,1060
530,81 142,16,10.8582,446,1060
530,82 211,16,10.8582,586,1060
530,83 234,16,10.8582,634,1060
530,86 257,16,10.8582,686,1060
530,89 228,16,10.8582,634,1060
530,91 148,16,10.8582,478,1060
530,92 101,16,10.8582,386,1060
530,94 133,16,10.8582,454,1060
530,96 163,16,10.8582,518,1060
530,97 216,16,10.8582,626,1060
530,103 246,16,10.8582,698,1060
530,104 243,16,10.8582,694,1060
530,108 181,16,10.8582,578,1060
530,109 178,16,10.8582,574,1060
530,111 198,16,10.8582,618,1060
530,112 119,16,10.8582,462,1060
530,114 177,16,10.8582,582,1060
530,117 264,16,10.8582,762,1060
530,118 239,16,10.8582,714,1060
530,122 229,16,10.8582,702,1060
530,123 196,16,10.8582,638,1060
530,126 167,16,10.8582,586,1060
530,128 129,16,10.8582,514,1060
530,131 248,16,10.8582,758,1060
530,132 191,16,10.8582,646,1060
530,136 253,16,10.8582,778,1060
530,137 214,16,10.8582,702,1060
530,139 162,16,10.8582,602,1060
530,143 146,16,10.8582,578,1060
530,144 153,16,10.8582,594,1060
530,151 232,16,10.8582,766,1060
530,154 263,16,10.8582,834,1060
530,157 164,16,10.8582,642,1060
530,158 201,16,10.8582,718,1060
530,168 219,16,10.8582,774,1060
530,171 182,16,10.8582,706,1060
530,172 249,16,10.8582,842,1060
530,173 194,16,10.8582,734,1060
530,176 187,16,10.8582,726,1060
530,179 262,16,10.8582,882,1060
530,186 233,16,10.8582,838,1060
530,193 244,16,10.8582,874,1060
530,199 218,16,10.8582,834,1060
530,204 247,16,10.8582,902,1060
530,207 226,16,10.8582,866,1060
530,208 221,16,10.8582,858,1060
530,213 236,16,10.8582,898,1060
530,222 261,16,10.8582,966,1060
530,227 254,16,10.8582,962,1060
530,241 258,16,10.8582,998,1060
