Vertices,Gen set,Diameter,Average distance,Bisection width,Connections
882,1 41,21,14.0079,84,1764
882,1 43,21,14.0079,88,1764
882,1 83,21,14.0079,168,1764
882,1 85,21,14.0079,172,1764
882,1 167,21,14.0079,336,1764
882,1 169,21,14.0079,340,1764
882,1 209,21,14.0079,420,1764
882,1 211,21,14.0079,424,1764
882,1 335,21,14.0079,672,1764
882,1 337,21,14.0079,676,1764
882,1 398,21,14.0079,798,1764
882,1 419,21,14.0079,840,1764
882,1 421,21,14.0079,844,1764
882,2 359,21,14.0079,722,1764
882,2 399,21,14.0079,802,1764
882,4 277,21,14.0079,562,1764
882,4 357,21,14.0079,722,1764
882,5 37,21,14.0079,84,1764
882,5 47,21,14.0079,104,1764
882,5 79,21,14.0079,168,1764
882,5 89,21,14.0079,188,1764
882,5 163,21,14.0079,336,1764
882,5 173,21,14.0079,356,1764
882,5 205,21,14.0079,420,1764
882,5 215,21,14.0079,440,1764
882,5 226,21,14.0079,462,1764
882,5 331,21,14.0079,672,1764
882,5 341,21,14.0079,692,1764
882,5 415,21,14.0079,840,1764
882,5 425,21,14.0079,860,1764
882,8 113,21,14.0079,242,1764
882,8 273,21,14.0079,562,1764
882,10 31,21,14.0079,82,1764
882,10 231,21,14.0079,482,1764
882,11 31,21,14.0079,84,1764
882,11 32,21,14.0079,86,1764
882,11 53,21,14.0079,128,1764
882,11 73,21,14.0079,168,1764
882,11 95,21,14.0079,212,1764
882,11 157,21,14.0079,336,1764
882,11 179,21,14.0079,380,1764
882,11 199,21,14.0079,420,1764
882,11 221,21,14.0079,464,1764
882,11 325,21,14.0079,672,1764
882,11 347,21,14.0079,716,1764
882,11 409,21,14.0079,840,1764
882,11 431,21,14.0079,884,1764
882,13 29,21,14.0079,84,1764
882,13 55,21,14.0079,136,1764
882,13 71,21,14.0079,168,1764
882,13 97,21,14.0079,220,1764
882,13 118,21,14.0079,262,1764
882,13 155,21,14.0079,336,1764
882,13 181,21,14.0079,388,1764
882,13 197,21,14.0079,420,1764
882,13 223,21,14.0079,472,1764
882,13 323,21,14.0079,672,1764
882,13 349,21,14.0079,724,1764
882,13 407,21,14.0079,840,1764
882,13 433,21,14.0079,892,1764
882,16 105,21,14.0079,242,1764
882,16 215,21,14.0079,462,1764
882,17 25,21,14.0079,84,1764
882,17 59,21,14.0079,152,1764
882,17 67,21,14.0079,168,1764
