Vertices,Gen set,Diameter,Average distance,Bisection width,Connections
258,1 48,11,7.57588,98,516
258,5 18,11,7.57588,46,516
258,6 59,11,7.57588,130,516
258,6 113,11,7.57588,238,516
258,7 78,11,7.57588,170,516
258,11 12,11,7.57588,46,516
258,12 97,11,7.57588,218,516
258,13 108,11,7.57588,242,516
258,17 42,11,7.57588,118,516
258,18 91,11,7.57588,218,516
258,19 120,11,7.57588,278,516
258,23 72,11,7.57588,190,516
258,24 65,11,7.57588,178,516
258,24 107,11,7.57588,262,516
258,25 90,11,7.57588,230,516
258,29 102,11,7.57588,262,516
258,30 37,11,7.57588,134,516
258,30 49,11,7.57588,158,516
258,31 60,11,7.57588,182,516
258,35 126,11,7.57588,322,516
258,36 53,11,7.57588,178,516
258,36 119,11,7.57588,310,516
258,41 96,11,7.57588,274,516
258,42 103,11,7.57588,290,516
258,47 66,11,7.57588,226,516
258,48 85,11,7.57588,266,516
258,54 71,11,7.57588,250,516
258,54 101,11,7.57588,310,516
258,55 60,11,7.57588,230,516
258,61 90,11,7.57588,302,516
258,66 125,11,7.57588,382,516
258,67 120,11,7.57588,374,516
258,72 109,11,7.57588,362,516
258,73 108,11,7.57588,362,516
258,77 84,11,7.57588,322,516
258,78 79,11,7.57588,314,516
258,83 114,11,7.57588,394,516
258,84 95,11,7.57588,358,516
258,89 114,11,7.57588,406,516
258,96 127,11,7.57588,446,516
258,102 115,11,7.57588,434,516
258,121 126,11,7.57588,494,516
