Vertices,Gen set,Diameter,Average distance,Bisection width,Connections
801,1 39,20,13.35,80,1602
801,1 41,20,13.35,84,1602
801,1 254,20,13.35,510,1602
801,1 294,20,13.35,590,1602
801,2 78,20,13.35,160,1602
801,2 82,20,13.35,168,1602
801,2 213,20,13.35,430,1602
801,2 293,20,13.35,590,1602
801,3 41,20,13.35,88,1602
801,3 79,20,13.35,164,1602
801,3 188,20,13.35,382,1602
801,3 226,20,13.35,458,1602
801,3 308,20,13.35,622,1602
801,3 346,20,13.35,698,1602
801,4 156,20,13.35,320,1602
801,4 164,20,13.35,336,1602
801,4 215,20,13.35,438,1602
801,4 375,20,13.35,758,1602
801,5 132,20,13.35,274,1602
801,5 195,20,13.35,400,1602
801,5 205,20,13.35,420,1602
801,5 332,20,13.35,674,1602
801,6 82,20,13.35,176,1602
801,6 109,20,13.35,230,1602
801,6 158,20,13.35,328,1602
801,6 185,20,13.35,382,1602
801,6 349,20,13.35,710,1602
801,6 376,20,13.35,764,1602
801,7 176,20,13.35,366,1602
801,7 273,20,13.35,560,1602
801,7 287,20,13.35,588,1602
801,7 345,20,13.35,704,1602
801,8 51,20,13.35,118,1602
801,8 312,20,13.35,640,1602
801,8 328,20,13.35,672,1602
801,8 371,20,13.35,758,1602
801,10 137,20,13.35,294,1602
801,10 264,20,13.35,548,1602
801,10 390,20,13.35,800,1602
801,10 391,20,13.35,802,1602
801,11 30,20,13.35,82,1602
801,11 350,20,13.35,722,1602
801,11 372,20,13.35,766,1602
801,11 391,20,13.35,804,1602
801,12 49,20,13.35,122,1602
801,12 103,20,13.35,230,1602
801,12 164,20,13.35,352,1602
801,12 218,20,13.35,460,1602
801,12 316,20,13.35,656,1602
801,12 370,20,13.35,764,1602
801,13 98,20,13.35,222,1602
801,13 183,20,13.35,392,1602
801,13 268,20,13.35,562,1602
801,13 294,20,13.35,614,1602
801,14 111,20,13.35,250,1602
801,14 227,20,13.35,482,1602
801,14 255,20,13.35,538,1602
801,14 352,20,13.35,732,1602
801,15 62,20,13.35,154,1602
801,15 128,20,13.35,286,1602
801,15 139,20,13.35,308,1602
801,15 205,20,13.35,440,1602
801,15 329,20,13.35,688,1602
801,15 395,20,13.35,820,1602
801,16 59,20,13.35,150,1602
801,16 102,20,13.35,236,1602
801,16 145,20,13.35,322,1602
801,16 177,20,13.35,386,1602
801,17 104,20,13.35,242,1602
801,17 138,20,13.35,310,1602
801,17 192,20,13.35,418,1602
801,17 313,20,13.35,660,1602
801,19 20,20,13.35,78,1602
801,19 21,20,13.35,80,1602
801,19 22,20,13.35,82,1602
801,19 60,20,13.35,158,1602
801,20 21,20,13.35,82,1602
801,20 273,20,13.35,586,1602
801,20 274,20,13.35,588,1602
801,21 247,20,13.35,536,1602
801,21 248,20,13.35,538,1602
801,21 286,20,13.35,614,1602
801,21 287,20,13.35,616,1602
801,22 57,20,13.35,158,1602
801,22 60,20,13.35,164,1602
801,22 101,20,13.35,246,1602
801,23 96,20,13.35,238,1602
801,23 142,20,13.35,330,1602
801,23 235,20,13.35,516,1602
801,23 354,20,13.35,754,1602
801,24 61,20,13.35,170,1602
801,24 98,20,13.35,244,1602
801,24 169,20,13.35,386,1602
