Vertices,Gen set,Diameter,Average distance,Bisection width,Connections
379,1 28,14,9.18519,58,758
379,1 176,14,9.18519,354,758
379,2 27,14,9.18519,58,758
379,2 56,14,9.18519,116,758
379,3 84,14,9.18519,174,758
379,3 149,14,9.18519,304,758
379,4 54,14,9.18519,116,758
379,4 112,14,9.18519,232,758
379,5 122,14,9.18519,254,758
379,5 140,14,9.18519,290,758
379,6 81,14,9.18519,174,758
379,6 168,14,9.18519,348,758
379,7 95,14,9.18519,204,758
379,7 183,14,9.18519,380,758
379,8 108,14,9.18519,232,758
379,8 155,14,9.18519,326,758
379,9 68,14,9.18519,154,758
379,9 127,14,9.18519,272,758
379,10 99,14,9.18519,218,758
379,10 135,14,9.18519,290,758
379,11 41,14,9.18519,104,758
379,11 71,14,9.18519,164,758
379,12 43,14,9.18519,110,758
379,12 162,14,9.18519,348,758
379,13 14,14,9.18519,54,758
379,13 15,14,9.18519,56,758
379,14 189,14,9.18519,406,758
379,15 41,14,9.18519,112,758
379,16 69,14,9.18519,170,758
379,16 163,14,9.18519,358,758
379,17 40,14,9.18519,114,758
379,17 97,14,9.18519,228,758
379,18 125,14,9.18519,286,758
379,18 136,14,9.18519,308,758
379,19 67,14,9.18519,172,758
379,19 153,14,9.18519,344,758
379,20 109,14,9.18519,258,758
379,20 181,14,9.18519,402,758
379,21 94,14,9.18519,230,758
379,21 170,14,9.18519,382,758
379,22 82,14,9.18519,208,758
379,22 142,14,9.18519,328,758
379,23 114,14,9.18519,274,758
379,23 121,14,9.18519,288,758
379,24 55,14,9.18519,158,758
379,24 86,14,9.18519,220,758
379,25 58,14,9.18519,166,758
379,25 148,14,9.18519,346,758
379,26 28,14,9.18519,108,758
379,26 30,14,9.18519,112,758
379,27 175,14,9.18519,404,758
379,29 54,14,9.18519,166,758
379,29 177,14,9.18519,412,758
379,30 82,14,9.18519,224,758
379,31 110,14,9.18519,282,758
379,31 150,14,9.18519,362,758
379,32 53,14,9.18519,170,758
379,32 138,14,9.18519,340,758
379,33 123,14,9.18519,312,758
379,33 166,14,9.18519,398,758
379,34 80,14,9.18519,228,758
379,34 185,14,9.18519,438,758
379,35 96,14,9.18519,262,758
379,35 157,14,9.18519,384,758
379,36 107,14,9.18519,286,758
379,36 129,14,9.18519,330,758
379,37 69,14,9.18519,212,758
379,37 101,14,9.18519,276,758
379,38 73,14,9.18519,222,758
379,38 134,14,9.18519,344,758
379,39 42,14,9.18519,162,758
379,39 45,14,9.18519,168,758
379,40 161,14,9.18519,402,758
379,42 188,14,9.18519,460,758
379,43 67,14,9.18519,220,758
379,44 95,14,9.18519,278,758
379,44 164,14,9.18519,416,758
379,45 123,14,9.18519,336,758
379,46 137,14,9.18519,366,758
379,46 151,14,9.18519,394,758
379,47 66,14,9.18519,226,758
379,47 179,14,9.18519,452,758
379,48 110,14,9.18519,316,758
379,48 172,14,9.18519,440,758
379,49 93,14,9.18519,284,758
379,49 144,14,9.18519,386,758
379,50 83,14,9.18519,266,758
379,50 116,14,9.18519,332,758
379,51 88,14,9.18519,278,758
379,51 120,14,9.18519,342,758
379,52 56,14,9.18519,216,758
379,52 60,14,9.18519,224,758
379,53 147,14,9.18519,400,758
379,55 174,14,9.18519,458,758
379,57 80,14,9.18519,274,758
379,57 178,14,9.18519,470,758
379,58 108,14,9.18519,332,758
379,59 136,14,9.18519,390,758
379,59 151,14,9.18519,420,758
379,60 164,14,9.18519,448,758
379,61 124,14,9.18519,370,758
379,61 187,14,9.18519,496,758
379,62 79,14,9.18519,282,758
379,62 159,14,9.18519,442,758
379,63 97,14,9.18519,320,758
379,63 131,14,9.18519,388,758
379,64 103,14,9.18519,334,758
379,64 106,14,9.18519,340,758
379,65 70,14,9.18519,270,758
379,65 75,14,9.18519,280,758
379,66 133,14,9.18519,398,758
379,68 160,14,9.18519,456,758
379,70 187,14,9.18519,514,758
