Vertices,Gen set,Diameter,Average distance,Bisection width,Connections
70,1 4 10 26,3,2.30435,82,280
70,1 4 10 27,3,2.30435,84,280
70,1 4 10 29,3,2.30435,88,280
70,1 4 11 17,3,2.30435,66,280
70,1 4 11 20,3,2.30435,72,280
70,1 4 11 25,3,2.30435,82,280
70,1 4 11 28,3,2.30435,88,280
70,1 4 11 32,3,2.30435,96,280
70,1 4 13 24,3,2.30435,84,280
70,1 4 13 32,3,2.30435,100,280
70,1 4 14 20,3,2.30435,78,280
70,1 4 14 25,3,2.30435,88,280
70,1 4 15 21,3,2.30435,82,280
70,1 4 15 24,3,2.30435,88,280
70,1 4 15 32,3,2.30435,104,280
70,1 4 16 30,3,2.30435,102,280
70,1 4 17 24,3,2.30435,92,280
70,1 4 17 28,3,2.30435,100,280
70,1 4 18 25,3,2.30435,96,280
70,1 4 18 27,3,2.30435,100,280
70,1 4 18 29,3,2.30435,104,280
70,1 4 19 30,3,2.30435,108,280
70,1 4 20 32,3,2.30435,114,280
70,1 4 21 30,3,2.30435,112,280
70,1 5 8 20,3,2.30435,68,280
70,1 5 8 28,3,2.30435,84,280
70,1 5 8 29,3,2.30435,86,280
70,1 5 12 20,3,2.30435,76,280
70,1 5 12 31,3,2.30435,98,280
70,1 5 13 20,3,2.30435,78,280
70,1 5 13 24,3,2.30435,86,280
70,1 5 14 17,3,2.30435,74,280
70,1 5 14 22,3,2.30435,84,280
70,1 5 14 26,3,2.30435,92,280
70,1 5 14 31,3,2.30435,102,280
70,1 5 16 24,3,2.30435,92,280
70,1 5 16 29,3,2.30435,102,280
70,1 5 17 20,3,2.30435,86,280
70,1 5 17 28,3,2.30435,102,280
70,1 5 18 21,3,2.30435,90,280
70,1 5 18 27,3,2.30435,102,280
70,1 5 20 27,3,2.30435,106,280
70,1 5 20 28,3,2.30435,108,280
70,1 5 22 29,3,2.30435,114,280
70,1 5 24 31,3,2.30435,122,280
70,1 5 26 29,3,2.30435,122,280
70,1 5 28 31,3,2.30435,130,280
70,1 6 9 22,3,2.30435,76,280
70,1 6 9 25,3,2.30435,82,280
70,1 6 9 28,3,2.30435,88,280
70,1 6 10 31,3,2.30435,96,280
70,1 6 14 17,3,2.30435,76,280
70,1 6 14 30,3,2.30435,102,280
70,1 6 14 33,3,2.30435,108,280
70,1 6 15 19,3,2.30435,82,280
70,1 6 15 26,3,2.30435,96,280
