Vertices,Gen set,Diameter,Average distance,Bisection width,Connections
53,1 4 21,4,2.46154,52,159
53,1 5 20,4,2.46154,52,159
53,1 5 22,4,2.46154,56,159
53,1 5 23,4,2.46154,58,159
53,1 6 21,4,2.46154,56,159
53,1 6 22,4,2.46154,58,159
53,1 7 12,4,2.46154,40,159
53,1 7 17,4,2.46154,50,159
53,1 8 11,4,2.46154,40,159
53,1 8 13,4,2.46154,44,159
53,1 8 20,4,2.46154,58,159
53,1 9 14,4,2.46154,48,159
53,1 9 23,4,2.46154,66,159
53,1 10 15,4,2.46154,52,159
53,1 10 25,4,2.46154,72,159
53,1 11 17,4,2.46154,58,159
53,1 12 19,4,2.46154,64,159
53,1 15 21,4,2.46154,74,159
53,1 16 24,4,2.46154,82,159
53,1 16 25,4,2.46154,84,159
53,1 20 24,4,2.46154,90,159
