Vertices,Gen set,Diameter,Average distance,BW,Connections
366,1 14 110,7,4.82192,250,1098
366,1 33 46,7,4.82466,160,1098
366,1 11 152,7,4.8274,328,1098
366,1 22 165,7,4.8274,376,1098
366,1 86 133,7,4.8274,440,1098
366,1 118 159,7,4.83014,556,1098
366,1 13 160,7,4.83288,348,1098
366,1 44 169,7,4.83288,428,1098
366,1 99 110,7,4.83288,420,1098
366,1 136 171,7,4.83288,616,1098
366,1 84 106,7,4.83562,382,1098
366,1 12 99,7,4.83836,224,1098
366,1 23 164,7,4.83836,376,1098
366,1 31 172,7,4.83836,408,1098
366,1 36 117,7,4.83836,308,1098
366,1 40 106,7,4.83836,294,1098
366,1 59 100,7,4.83836,320,1098
366,1 96 130,7,4.83836,454,1098
366,1 152 175,7,4.83836,656,1098
366,1 15 86,7,4.8411,204,1098
366,1 18 85,7,4.8411,208,1098
366,1 81 154,7,4.8411,472,1098
366,1 84 153,7,4.8411,476,1098
366,1 98 108,7,4.8411,414,1098
366,1 138 155,7,4.8411,588,1098
366,1 98 162,7,4.84384,522,1098
366,1 21 72,7,4.84658,188,1098
366,1 29 136,7,4.84658,332,1098
366,1 69 170,7,4.84658,480,1098
366,1 101 172,7,4.84658,548,1098
366,1 17 114,7,4.84932,264,1098
366,1 43 144,7,4.84932,376,1098
366,1 51 178,7,4.84932,460,1098
366,1 75 102,7,4.85205,356,1098
366,1 23 54,7,4.85479,156,1098
366,1 31 116,7,4.85479,296,1098
366,1 34 48,7,4.85479,166,1098
366,1 59 110,7,4.85479,340,1098
366,1 64 104,7,4.85479,338,1098
366,1 66 175,7,4.85479,484,1098
366,1 79 114,7,4.85479,388,1098
366,1 108 139,7,4.85479,496,1098
366,1 110 138,7,4.85479,498,1098
366,1 128 154,7,4.85479,566,1098
366,1 18 160,7,4.85753,358,1098
366,1 36 155,7,4.85753,384,1098
366,1 50 128,7,4.85753,358,1098
366,1 50 143,7,4.85753,388,1098
366,1 64 141,7,4.85753,412,1098
366,1 85 132,7,4.85753,436,1098
366,1 136 151,7,4.85753,576,1098
366,1 12 140,7,4.86027,306,1098
366,1 15 156,7,4.86027,344,1098
366,1 39 64,7,4.86027,208,1098
366,1 54 117,7,4.86027,344,1098
366,1 160 170,7,4.86027,662,1098
366,1 32 39,7,4.86301,144,1098
366,1 32 55,7,4.86301,176,1098
366,1 46 173,7,4.86301,440,1098
366,1 78 176,7,4.86301,510,1098
366,1 79 98,7,4.86301,356,1098
366,1 80 139,7,4.86301,440,1098
366,1 81 174,7,4.86301,512,1098
366,1 9 108,7,4.86575,236,1098
366,1 11 158,7,4.86575,340,1098
366,1 14 158,7,4.86575,346,1098
366,1 31 162,7,4.86575,388,1098
366,1 40 152,7,4.86575,386,1098
366,1 42 59,7,4.86575,204,1098
366,1 76 178,7,4.86575,510,1098
366,1 81 110,7,4.86575,384,1098
366,1 133 152,7,4.86575,572,1098
366,1 9 142,7,4.86849,304,1098
366,1 17 161,7,4.86849,358,1098
366,1 20 105,7,4.86849,252,1098
366,1 25 59,7,4.86849,170,1098
366,1 26 116,7,4.86849,286,1098
366,1 31 43,7,4.86849,150,1098
366,1 66 81,7,4.86849,296,1098
366,1 8 139,7,4.87123,296,1098
366,1 24 55,7,4.87123,160,1098
366,1 34 142,7,4.87123,354,1098
366,1 66 80,7,4.87123,294,1098
366,1 79 100,7,4.87123,360,1098
366,1 88 143,7,4.87123,464,1098
366,1 96 141,7,4.87123,476,1098
366,1 99 152,7,4.87123,504,1098
366,1 112 151,7,4.87123,528,1098
366,1 126 173,7,4.87123,600,1098
366,1 12 112,7,4.87397,250,1098
366,1 21 156,7,4.87397,356,1098
366,1 26 93,7,4.87397,240,1098
366,1 46 78,7,4.87397,250,1098
366,1 72 94,7,4.87397,334,1098
366,1 94 164,7,4.87397,518,1098
366,1 103 170,7,4.87397,548,1098
366,1 150 164,7,4.87397,630,1098
366,1 158 167,7,4.87397,652,1098
366,1 8 66,7,4.87671,150,1098
366,1 13 142,7,4.87671,312,1098
366,1 20 167,7,4.87671,376,1098
366,1 28 39,7,4.87671,136,1098
366,1 32 139,7,4.87671,344,1098
366,1 34 79,7,4.87671,228,1098
366,1 103 136,7,4.87671,480,1098
366,1 158 169,7,4.87671,656,1098
366,1 10 80,7,4.87945,182,1098
366,1 10 100,7,4.87945,222,1098
366,1 10 134,7,4.87945,290,1098
366,1 27 124,7,4.87945,304,1098
366,1 30 104,7,4.87945,270,1098
366,1 31 54,7,4.87945,172,1098
366,1 59 108,7,4.87945,336,1098
366,1 102 171,7,4.87945,548,1098
