Vertices,Gen set,Diameter,Average distance,BW,Connections
891,1 123 232,9,6.55056,712,2673
891,1 265 372,9,6.55056,1276,2673
891,1 186 440,9,6.5573,1254,2673
891,1 153 319,9,6.5618,946,2673
891,1 11 373,9,6.56404,770,2673
891,1 43 418,9,6.56404,924,2673
891,1 266 371,9,6.57528,1276,2673
891,1 293 421,9,6.57528,1430,2673
891,1 400 412,9,6.57528,1626,2673
891,1 63 74,9,6.58202,276,2673
891,1 252 301,9,6.58202,1108,2673
891,1 407 417,9,6.58202,1650,2673
891,1 10 161,9,6.62697,344,2673
891,1 73 89,9,6.62697,326,2673
891,1 404 415,9,6.62697,1640,2673
891,1 13 195,9,6.63146,418,2673
891,1 15 137,9,6.63146,306,2673
891,1 80 172,9,6.64045,506,2673
891,1 314 323,9,6.64045,1276,2673
891,1 316 332,9,6.64045,1298,2673
891,1 9 137,9,6.66517,294,2673
891,1 13 117,9,6.66517,262,2673
891,1 33 279,10,6.52135,626,2673
891,1 97 261,10,6.52135,718,2673
891,1 248 315,10,6.52135,1128,2673
891,1 138 220,10,6.52809,718,2673
891,1 30 379,10,6.53034,820,2673
891,1 134 435,10,6.53034,1140,2673
891,1 24 185,10,6.53483,420,2673
891,1 61 78,10,6.53483,280,2673
891,1 174 409,10,6.53483,1168,2673
891,1 236 318,10,6.53483,1110,2673
891,1 19 206,10,6.53933,452,2673
891,1 307 359,10,6.53933,1334,2673
891,1 386 422,10,6.53933,1618,2673
891,1 22 271,10,6.54157,588,2673
891,1 84 188,10,6.54157,546,2673
891,1 109 246,10,6.54157,712,2673
891,1 217 319,10,6.54157,1074,2673
891,1 400 420,10,6.54157,1642,2673
891,1 402 421,10,6.54157,1648,2673
891,1 39 216,10,6.54382,512,2673
891,1 56 310,10,6.54382,734,2673
891,1 101 175,10,6.54382,554,2673
891,1 247 434,10,6.54382,1364,2673
891,1 261 275,10,6.54382,1074,2673
891,1 66 145,10,6.54607,424,2673
891,1 67 325,10,6.54607,786,2673
891,1 108 183,10,6.54607,584,2673
891,1 119 393,10,6.54607,1026,2673
891,1 133 434,10,6.54607,1136,2673
891,1 174 319,10,6.54607,988,2673
891,1 183 292,10,6.54607,952,2673
891,1 244 310,10,6.54607,1110,2673
891,1 363 424,10,6.54607,1576,2673
891,1 20 321,10,6.54831,684,2673
891,1 47 130,10,6.54831,356,2673
891,1 158 281,10,6.54831,880,2673
891,1 176 406,10,6.54831,1166,2673
891,1 286 342,10,6.54831,1258,2673
891,1 344 436,10,6.54831,1562,2673
891,1 401 417,10,6.54831,1638,2673
891,1 17 190,10,6.55056,416,2673
891,1 57 102,10,6.55056,320,2673
891,1 76 316,10,6.55056,786,2673
891,1 80 391,10,6.55056,944,2673
891,1 116 262,10,6.55056,758,2673
891,1 136 361,10,6.55056,996,2673
891,1 136 395,10,6.55056,1064,2673
891,1 138 398,10,6.55056,1074,2673
891,1 172 293,10,6.55056,932,2673
891,1 190 206,10,6.55056,794,2673
891,1 210 293,10,6.55056,1008,2673
891,1 214 376,10,6.55056,1182,2673
891,1 228 347,10,6.55056,1152,2673
891,1 229 323,10,6.55056,1106,2673
891,1 340 371,10,6.55056,1424,2673
