Vertices,Gen set,Diameter,Average distance,BW,Connections
217,1 41 105,6,4.02778,294,651
217,1 90 98,6,4.02778,378,651
217,1 7 83,6,4.03704,182,651
217,1 9 80,6,4.03704,180,651
217,1 19 46,6,4.03704,132,651
217,1 21 34,6,4.03704,112,651
217,1 23 38,6,4.03704,124,651
217,1 24 33,6,4.03704,116,651
217,1 28 99,6,4.03704,256,651
217,1 40 52,6,4.03704,186,651
217,1 57 77,6,4.03704,270,651
217,1 66 96,6,4.03704,326,651
217,1 9 51,6,4.0463,122,651
217,1 11 95,6,4.0463,214,651
217,1 16 41,6,4.0463,116,651
217,1 17 64,6,4.0463,164,651
217,1 23 32,6,4.0463,112,651
217,1 24 78,6,4.0463,206,651
217,1 28 46,6,4.0463,150,651
217,1 30 85,6,4.0463,232,651
217,1 33 56,6,4.0463,180,651
217,1 39 94,6,4.0463,268,651
217,1 58 66,6,4.0463,250,651
217,1 61 101,6,4.0463,326,651
217,1 79 90,6,4.0463,340,651
217,1 89 97,6,4.0463,374,651
217,1 8 91,6,4.05556,200,651
217,1 9 65,6,4.05556,150,651
217,1 9 88,6,4.05556,196,651
217,1 10 64,6,4.05556,150,651
217,1 10 90,6,4.05556,202,651
217,1 11 40,6,4.05556,104,651
217,1 11 63,6,4.05556,150,651
217,1 11 94,6,4.05556,212,651
217,1 14 37,6,4.05556,104,651
217,1 14 48,6,4.05556,126,651
217,1 14 79,6,4.05556,188,651
217,1 15 80,6,4.05556,192,651
217,1 16 38,6,4.05556,110,651
217,1 17 45,6,4.05556,126,651
217,1 17 76,6,4.05556,188,651
217,1 19 68,6,4.05556,176,651
217,1 20 32,6,4.05556,106,651
217,1 20 94,6,4.05556,230,651
217,1 21 102,6,4.05556,248,651
217,1 22 56,6,4.05556,158,651
217,1 24 41,6,4.05556,132,651
217,1 24 58,6,4.05556,166,651
217,1 25 104,6,4.05556,260,651
217,1 26 100,6,4.05556,254,651
217,1 27 70,6,4.05556,196,651
217,1 29 67,6,4.05556,194,651
217,1 30 51,6,4.05556,164,651
217,1 30 104,6,4.05556,270,651
217,1 32 42,6,4.05556,150,651
217,1 37 65,6,4.05556,206,651
217,1 37 101,6,4.05556,278,651
217,1 42 61,6,4.05556,208,651
217,1 42 69,6,4.05556,224,651
217,1 42 97,6,4.05556,280,651
217,1 45 76,6,4.05556,244,651
217,1 48 79,6,4.05556,256,651
217,1 48 102,6,4.05556,302,651
217,1 51 92,6,4.05556,288,651
217,1 61 82,6,4.05556,288,651
217,1 63 104,6,4.05556,336,651
217,1 70 88,6,4.05556,318,651
217,1 70 92,6,4.05556,326,651
217,1 70 100,6,4.05556,342,651
217,1 78 88,6,4.05556,334,651
217,1 79 95,6,4.05556,350,651
217,1 82 92,6,4.05556,350,651
217,1 85 98,6,4.05556,368,651
217,1 6 61,6,4.06481,136,651
217,1 7 89,6,4.06481,194,651
217,1 13 47,6,4.06481,122,651
217,1 14 75,6,4.06481,180,651
217,1 14 97,6,4.06481,224,651
217,1 20 75,6,4.06481,192,651
217,1 23 53,6,4.06481,154,651
217,1 25 32,6,4.06481,116,651
217,1 25 86,6,4.06481,224,651
217,1 26 36,6,4.06481,126,651
217,1 26 66,6,4.06481,186,651
217,1 31 105,6,4.06481,274,651
217,1 33 45,6,4.06481,158,651
217,1 37 50,6,4.06481,176,651
217,1 39 53,6,4.06481,186,651
217,1 39 56,6,4.06481,192,651
217,1 44 99,6,4.06481,288,651
217,1 46 100,6,4.06481,294,651
217,1 49 62,6,4.06481,224,651
217,1 49 64,6,4.06481,228,651
217,1 49 81,6,4.06481,262,651
217,1 49 92,6,4.06481,284,651
217,1 52 74,6,4.06481,254,651
217,1 57 89,6,4.06481,294,651
217,1 57 96,6,4.06481,308,651
217,1 58 76,6,4.06481,270,651
217,1 60 88,6,4.06481,298,651
217,1 62 81,6,4.06481,288,651
217,1 75 93,6,4.06481,338,651
217,1 78 84,6,4.06481,326,651
217,1 81 101,6,4.06481,366,651
217,1 82 102,6,4.06481,370,651
217,1 85 105,6,4.06481,382,651
217,1 86 99,6,4.06481,372,651
217,1 10 81,6,4.07407,184,651
217,1 11 50,6,4.07407,124,651
217,1 13 74,6,4.07407,176,651
217,1 15 69,6,4.07407,170,651
217,1 15 89,6,4.07407,210,651
217,1 17 57,6,4.07407,150,651
217,1 20 28,6,4.07407,98,651
217,1 20 84,6,4.07407,210,651
217,1 22 104,6,4.07407,254,651
217,1 23 29,6,4.07407,106,651
217,1 25 35,6,4.07407,122,651
217,1 26 42,6,4.07407,138,651
217,1 29 48,6,4.07407,156,651
217,1 39 48,6,4.07407,176,651
217,1 39 66,6,4.07407,212,651
217,1 42 76,6,4.07407,238,651
217,1 44 79,6,4.07407,248,651
