Vertices,Gen set,Diameter,Average distance,BW,Connections
1010,1 46 473,10,6.80377,1040,3030
1010,1 363 472,10,6.80377,1672,3030
1010,1 116 495,10,6.80773,1224,3030
1010,1 48 109,10,6.80971,316,3030
1010,1 139 398,10,6.80971,1076,3030
1010,1 185 348,10,6.81169,1068,3030
1010,1 18 232,10,6.81368,502,3030
1010,1 34 355,10,6.81368,780,3030
1010,1 36 317,10,6.81368,708,3030
1010,1 118 137,10,6.81368,512,3030
1010,1 128 198,10,6.81368,654,3030
1010,1 55 98,10,6.81764,308,3030
1010,1 70 394,10,6.81764,930,3030
1010,1 70 256,10,6.81962,654,3030
1010,1 30 363,10,6.82161,788,3030
1010,1 50 473,10,6.82161,1048,3030
1010,1 73 490,10,6.8226,1128,3030
1010,1 83 270,10,6.8226,708,3030
1010,1 264 332,10,6.82359,1194,3030
1010,1 138 262,10,6.82458,802,3030
1010,1 20 275,10,6.82557,592,3030
1010,1 178 192,10,6.82656,742,3030
1010,1 264 415,10,6.82656,1360,3030
1010,1 77 366,10,6.82755,888,3030
1010,1 192 223,10,6.82755,832,3030
1010,1 93 148,10,6.82854,484,3030
1010,1 134 422,10,6.82854,1114,3030
1010,1 17 392,10,6.82953,820,3030
1010,1 20 235,10,6.82953,512,3030
1010,1 118 434,10,6.82953,1106,3030
1010,1 274 297,10,6.82953,1144,3030
1010,1 352 370,10,6.82953,1446,3030
1010,1 45 466,10,6.83053,1024,3030
1010,1 13 280,10,6.83152,588,3030
1010,1 233 410,10,6.83152,1288,3030
1010,1 69 248,10,6.83251,636,3030
1010,1 161 472,10,6.83251,1268,3030
1010,1 84 360,10,6.8335,890,3030
1010,1 117 262,10,6.8335,760,3030
1010,1 274 423,10,6.8335,1396,3030
1010,1 25 448,10,6.83449,948,3030
1010,1 28 312,10,6.83449,682,3030
1010,1 292 352,10,6.83449,1290,3030
1010,1 20 367,10,6.83647,776,3030
1010,1 51 116,10,6.83647,336,3030
1010,1 99 374,10,6.83647,948,3030
1010,1 184 222,10,6.83647,814,3030
1010,1 198 313,10,6.83647,1024,3030
1010,1 313 364,10,6.83647,1356,3030
1010,1 333 410,10,6.83647,1488,3030
1010,1 375 474,10,6.83647,1700,3030
1010,1 57 312,10,6.83746,740,3030
1010,1 132 420,10,6.83746,1106,3030
1010,1 154 443,10,6.83746,1196,3030
1010,1 22 272,10,6.83944,590,3030
1010,1 74 87,10,6.83944,324,3030
1010,1 134 364,10,6.83944,998,3030
1010,1 267 442,10,6.83944,1420,3030
1010,1 268 485,10,6.83944,1508,3030
1010,1 85 192,10,6.84044,556,3030
