Vertices,Gen set,Diameter,Average distance,BW,Connections
301,1 8 66,6,4.52,150,903
301,1 9 114,6,4.52,248,903
301,1 67 113,6,4.52,362,903
301,1 9 65,6,4.52667,150,903
301,1 67 141,6,4.52667,418,903
301,1 88 111,6,4.52667,400,903
301,1 7 85,6,4.59333,186,903
301,1 28 34,6,4.59333,126,903
301,1 62 70,6,4.59333,266,903
301,1 87 93,6,4.59333,362,903
301,1 123 135,6,4.59333,518,903
301,1 128 136,6,4.59333,530,903
301,1 23 79,7,4.51333,206,903
301,1 34 80,7,4.51333,230,903
301,1 62 144,7,4.51333,414,903
301,1 9 125,7,4.52,270,903
301,1 11 91,7,4.52,206,903
301,1 31 107,7,4.52,278,903
301,1 45 57,7,4.52,206,903
301,1 45 110,7,4.52,312,903
301,1 52 68,7,4.52,242,903
301,1 53 67,7,4.52,242,903
301,1 63 82,7,4.52,292,903
301,1 79 107,7,4.52,374,903
301,1 80 132,7,4.52,426,903
301,1 118 142,7,4.52,522,903
301,1 10 112,7,4.52667,246,903
301,1 14 62,7,4.52667,154,903
301,1 19 135,7,4.52667,310,903
301,1 21 55,7,4.52667,154,903
301,1 26 42,7,4.52667,138,903
301,1 30 49,7,4.52667,160,903
301,1 34 126,7,4.52667,322,903
301,1 36 92,7,4.52667,258,903
301,1 77 104,7,4.52667,364,903
301,1 81 91,7,4.52667,346,903
301,1 95 118,7,4.52667,428,903
301,1 125 136,7,4.52667,524,903
301,1 9 83,7,4.53333,186,903
301,1 9 111,7,4.53333,242,903
301,1 18 65,7,4.53333,168,903
301,1 18 78,7,4.53333,194,903
301,1 22 57,7,4.53333,160,903
301,1 24 39,7,4.53333,128,903
301,1 24 134,7,4.53333,318,903
301,1 27 116,7,4.53333,288,903
301,1 29 40,7,4.53333,140,903
301,1 36 138,7,4.53333,350,903
301,1 38 48,7,4.53333,174,903
301,1 41 71,7,4.53333,226,903
301,1 42 53,7,4.53333,192,903
301,1 54 92,7,4.53333,294,903
301,1 56 142,7,4.53333,398,903
301,1 65 141,7,4.53333,414,903
301,1 67 88,7,4.53333,312,903
301,1 67 143,7,4.53333,422,903
301,1 69 87,7,4.53333,314,903
301,1 79 88,7,4.53333,336,903
301,1 80 117,7,4.53333,396,903
301,1 85 119,7,4.53333,410,903
301,1 96 117,7,4.53333,428,903
301,1 103 128,7,4.53333,464,903
301,1 106 132,7,4.53333,478,903
301,1 108 146,7,4.53333,510,903
301,1 131 138,7,4.53333,540,903
301,1 8 88,7,4.54,194,903
301,1 8 115,7,4.54,248,903
301,1 10 128,7,4.54,278,903
301,1 11 113,7,4.54,250,903
301,1 12 68,7,4.54,162,903
301,1 13 70,7,4.54,168,903
301,1 15 52,7,4.54,136,903
301,1 16 58,7,4.54,150,903
301,1 16 92,7,4.54,218,903
301,1 16 131,7,4.54,296,903
301,1 17 130,7,4.54,296,903
301,1 20 137,7,4.54,316,903
301,1 25 106,7,4.54,264,903
301,1 26 36,7,4.54,126,903
301,1 27 94,7,4.54,244,903
