Vertices,Gen set,Diameter,Average distance,BW,Connections
407,1 39 54,7,4.99507,188,1221
407,1 64 167,7,4.99507,464,1221
407,1 98 159,7,4.99507,516,1221
407,1 30 52,7,5.00985,166,1221
407,1 56 95,7,5.00985,304,1221
407,1 109 180,7,5.00985,580,1221
407,1 12 150,7,5.02463,326,1221
407,1 19 179,7,5.02463,398,1221
407,1 34 191,7,5.02463,452,1221
407,1 60 130,7,5.02956,382,1221
407,1 70 156,7,5.02956,454,1221
407,1 72 157,7,5.02956,460,1221
407,1 8 74,7,5.04433,166,1221
407,1 9 171,7,5.04433,362,1221
407,1 11 89,7,5.04433,202,1221
407,1 19 181,7,5.04433,402,1221
407,1 32 55,7,5.04433,176,1221
407,1 37 45,7,5.04433,166,1221
407,1 37 199,7,5.04433,474,1221
407,1 38 48,7,5.04433,174,1221
407,1 44 56,7,5.04433,202,1221
407,1 51 111,7,5.04433,326,1221
407,1 63 75,7,5.04433,278,1221
407,1 84 195,7,5.04433,560,1221
407,1 88 109,7,5.04433,396,1221
407,1 119 150,7,5.04433,540,1221
407,1 176 186,7,5.04433,726,1221
407,1 85 200,7,5.04926,572,1221
407,1 92 116,7,5.04926,418,1221
407,1 146 158,7,5.04926,610,1221
407,1 9 73,7,5.05911,166,1221
407,1 28 184,7,5.05911,426,1221
407,1 70 86,7,5.05911,314,1221
407,1 71 86,7,5.05911,316,1221
407,1 71 157,7,5.05911,458,1221
407,1 74 171,7,5.05911,492,1221
407,1 79 133,7,5.05911,426,1221
407,1 119 148,7,5.05911,536,1221
407,1 123 153,7,5.05911,554,1221
407,1 170 182,7,5.05911,706,1221
407,1 181 189,7,5.05911,742,1221
407,1 8 113,7,5.06404,244,1221
407,1 18 144,7,5.06404,326,1221
407,1 22 78,7,5.06404,202,1221
407,1 32 165,7,5.06404,396,1221
407,1 33 89,7,5.06404,246,1221
407,1 51 65,7,5.06404,234,1221
407,1 56 132,7,5.06404,378,1221
407,1 109 143,7,5.06404,506,1221
407,1 120 198,7,5.06404,638,1221
407,1 121 186,7,5.06404,616,1221
407,1 23 185,7,5.07389,418,1221
407,1 177 185,7,5.07389,726,1221
407,1 38 46,7,5.08374,170,1221
407,1 75 194,7,5.08374,540,1221
407,1 107 115,7,5.08374,446,1221
407,1 41 52,7,5.0936,188,1221
407,1 54 180,7,5.0936,470,1221
407,1 98 139,7,5.0936,476,1221
407,1 28 105,7,5.10345,268,1221
407,1 31 54,7,5.10345,172,1221
407,1 98 189,7,5.10345,576,1221
407,1 17 150,8,5,336,1221
407,1 18 121,8,5,280,1221
407,1 19 84,8,5,208,1221
407,1 24 63,8,5,176,1221
407,1 46 108,8,5,310,1221
407,1 49 188,8,5,476,1221
407,1 113 165,8,5,558,1221
407,1 115 197,8,5,626,1221
407,1 11 119,8,5.00493,262,1221
407,1 154 171,8,5.00493,652,1221
407,1 31 72,8,5.00985,208,1221
407,1 40 130,8,5.00985,342,1221
407,1 41 131,8,5.00985,346,1221
