Vertices,Gen set,Diameter,Average distance,BW,Connections
124,1 10 54,5,3.30081,130,372
124,1 14 52,5,3.30894,134,372
124,1 16 26,5,3.31707,86,372
124,1 9 46,5,3.3252,112,372
124,1 15 50,5,3.3252,132,372
124,1 33 38,5,3.3252,144,372
124,1 50 55,5,3.3252,212,372
124,1 10 24,5,3.33333,70,372
124,1 13 44,5,3.33333,116,372
124,1 18 49,5,3.33333,136,372
124,1 19 32,5,3.33333,104,372
124,1 30 43,5,3.33333,148,372
124,1 11 48,5,3.34146,120,372
124,1 16 22,5,3.34146,78,372
124,1 24 35,5,3.34146,120,372
124,1 28 46,5,3.34146,150,372
124,1 39 56,5,3.34146,192,372
124,1 45 52,5,3.34146,196,372
